Season,League,Team,Date,Player,#,Nation,Pos,Age,Min,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%
2020-2021,Bundesliga,Arminia,2020-09-19,Fabian Klos,9,de GER,FW,32-292,90,0,0,0,1,1,0,2,0,0,0,0,0,5,6,1,85.7
2020-2021,Bundesliga,Arminia,2020-09-19,Sergio Córdova,18,ve VEN,LM,23-041,80,0,0,0,1,3,1,0,0,1,0,0,0,11,3,2,60.0
2020-2021,Bundesliga,Arminia,2020-09-19,Sven Schipplock,36,de GER,LM,31-316,10,0,0,0,1,0,0,0,0,0,0,0,0,4,0,2,0.0
2020-2021,Bundesliga,Arminia,2020-09-19,Marcel Hartel,30,de GER,CM,24-244,90,0,0,0,0,2,0,4,1,2,0,0,0,6,0,0,
2020-2021,Bundesliga,Arminia,2020-09-19,Ritsu Doan,8,jp JPN,CM,22-095,72,0,0,0,3,5,0,2,1,3,0,0,0,5,0,2,0.0
2020-2021,Bundesliga,Arminia,2020-09-19,Christian Gebauer,7,at AUT,CM,26-274,18,0,0,0,1,0,0,1,0,1,0,0,0,5,0,0,
2020-2021,Bundesliga,Arminia,2020-09-19,Cebio Soukou,17,bj BEN,RM,27-353,72,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0.0
2020-2021,Bundesliga,Arminia,2020-09-19,Fabian Kunze,16,de GER,RM,22-097,18,0,0,0,1,2,0,0,0,1,0,0,0,3,1,1,50.0
2020-2021,Bundesliga,Arminia,2020-09-19,Manuel Prietl,19,at AUT,DM,29-047,90,0,0,0,1,0,0,0,0,1,0,0,0,16,0,2,0.0
2020-2021,Bundesliga,Arminia,2020-09-19,Anderson Lucoqui,23,ao ANG,LB,23-075,72,0,0,0,0,3,0,0,1,0,0,0,0,8,0,2,0.0
2020-2021,Bundesliga,Arminia,2020-09-19,Jacob Barrett Laursen,5,dk DEN,LB,25-307,18,0,0,0,1,0,0,1,1,0,0,0,0,3,0,3,0.0
2020-2021,Bundesliga,Arminia,2020-09-19,Mike van der Hoorn,6,nl NED,CB,27-340,90,0,0,0,0,1,0,0,0,1,0,0,0,12,2,4,33.3
2020-2021,Bundesliga,Arminia,2020-09-19,Amos Pieper,2,de GER,CB,22-246,90,0,0,0,0,0,0,0,0,3,0,0,0,8,4,3,57.1
2020-2021,Bundesliga,Arminia,2020-09-19,Nathan de Medina,15,be BEL,RB,22-347,12,1,0,0,1,0,0,0,0,2,0,0,0,0,1,0,100.0
2020-2021,Bundesliga,Arminia,2020-09-19,Cédric Brunner,27,ch SUI,RB,26-215,78,1,0,0,2,0,0,3,0,2,0,0,0,15,0,0,
2020-2021,Bundesliga,Arminia,2020-09-19,Stefan Ortega,1,de GER,GK,27-318,90,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,
2020-2021,Bundesliga,Werder Bremen,2020-09-19,Yuya Osako,8,jp JPN,FW,30-124,45,0,0,0,1,1,0,0,0,2,0,0,0,3,1,0,100.0
2020-2021,Bundesliga,Werder Bremen,2020-09-19,Leonardo Bittencourt,10,de GER,"CM,FW",26-275,45,0,0,0,1,2,0,4,0,0,0,0,0,5,0,3,0.0
2020-2021,Bundesliga,Werder Bremen,2020-09-19,Davie Selke,9,de GER,FW,25-243,90,1,0,0,0,2,0,1,0,0,0,0,0,6,5,5,50.0
2020-2021,Bundesliga,Werder Bremen,2020-09-19,Josh Sargent,19,us USA,AM,20-212,90,0,0,0,1,1,0,0,1,2,0,0,0,12,2,4,33.3
2020-2021,Bundesliga,Werder Bremen,2020-09-19,Tahith Chong,22,nl NED,AM,20-290,62,0,0,0,0,5,0,1,0,1,0,0,0,3,0,0,
2020-2021,Bundesliga,Werder Bremen,2020-09-19,Nick Woltemade,41,de GER,CM,18-218,28,0,0,0,0,0,0,0,0,1,0,0,0,2,1,2,33.3
2020-2021,Bundesliga,Werder Bremen,2020-09-19,Maximilian Eggestein,35,de GER,DM,23-286,90,1,0,0,2,0,0,0,1,0,0,0,0,18,3,3,50.0
2020-2021,Bundesliga,Werder Bremen,2020-09-19,Davy Klaassen,30,nl NED,DM,27-211,62,0,0,0,2,2,0,1,1,0,0,0,0,9,1,1,50.0
2020-2021,Bundesliga,Werder Bremen,2020-09-19,Niclas Füllkrug,11,de GER,FW,27-223,28,0,0,0,0,0,0,1,0,0,0,0,0,2,2,5,28.6
2020-2021,Bundesliga,Werder Bremen,2020-09-19,Ludwig Augustinsson,5,se SWE,LB,26-151,90,0,0,0,0,1,0,5,1,2,0,0,0,16,3,1,75.0
2020-2021,Bundesliga,Werder Bremen,2020-09-19,Marco Friedl,32,at AUT,CB,22-187,90,0,0,0,3,2,0,0,0,1,0,0,0,6,0,1,0.0
2020-2021,Bundesliga,Werder Bremen,2020-09-19,Niklas Moisander,18,fi FIN,CB,34-356,90,0,0,0,1,0,0,0,2,2,0,0,0,12,0,1,0.0
2020-2021,Bundesliga,Werder Bremen,2020-09-19,Theodor Gebre Selassie,23,cz CZE,RB,33-270,90,0,0,0,2,2,0,0,0,0,0,0,0,11,0,2,0.0
2020-2021,Bundesliga,Werder Bremen,2020-09-19,Jiří Pavlenka,1,cz CZE,GK,28-158,90,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,
2020-2021,Bundesliga,Hertha BSC,2020-09-19,Krzysztof Piątek,9,pl POL,FW,25-080,60,0,0,0,5,1,1,0,0,0,0,0,0,1,2,0,100.0
2020-2021,Bundesliga,Hertha BSC,2020-09-19,Jhon Córdoba,15,co COL,FW,27-131,30,0,0,0,1,2,0,0,0,0,0,0,0,0,2,1,66.7
2020-2021,Bundesliga,Hertha BSC,2020-09-19,Dodi Lukebakio,11,be BEL,FW,22-361,80,0,0,0,0,1,0,0,1,0,0,0,0,4,0,1,0.0
2020-2021,Bundesliga,Hertha BSC,2020-09-19,Mathew Leckie,7,au AUS,FW,29-228,10,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,
2020-2021,Bundesliga,Hertha BSC,2020-09-19,Matheus Cunha,10,br BRA,AM,21-115,90,0,0,0,2,2,0,2,3,3,0,0,0,6,2,2,50.0
2020-2021,Bundesliga,Hertha BSC,2020-09-19,Lucas Tousart,29,fr FRA,CM,23-143,90,0,0,0,1,0,0,1,1,1,0,0,0,9,6,4,60.0
2020-2021,Bundesliga,Hertha BSC,2020-09-19,Vladimír Darida,6,cz CZE,CM,30-042,90,0,0,0,1,1,0,0,0,0,0,0,0,6,1,2,33.3
2020-2021,Bundesliga,Hertha BSC,2020-09-19,Niklas Stark,5,de GER,DM,25-158,80,0,0,0,5,2,0,0,2,0,0,0,0,12,2,2,50.0
2020-2021,Bundesliga,Hertha BSC,2020-09-19,Arne Maier,23,de GER,DM,21-255,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0
2020-2021,Bundesliga,Hertha BSC,2020-09-19,Maximilian Mittelstädt,17,de GER,LB,23-185,90,0,0,0,0,0,0,1,2,1,0,0,0,10,2,2,50.0
2020-2021,Bundesliga,Hertha BSC,2020-09-19,Jordan Torunarigha,25,de GER,CB,23-043,90,0,0,0,2,0,0,0,1,1,0,0,0,6,4,1,80.0
2020-2021,Bundesliga,Hertha BSC,2020-09-19,Dedryck Boyata,20,be BEL,CB,29-296,90,0,0,0,2,0,0,0,0,0,0,0,0,8,5,1,83.3
2020-2021,Bundesliga,Hertha BSC,2020-09-19,Peter Pekarík,2,sk SVK,RB,33-325,80,0,0,0,0,2,0,2,2,1,0,0,0,10,2,0,100.0
2020-2021,Bundesliga,Hertha BSC,2020-09-19,Deyovaisio Zeefuik,42,nl NED,RB,22-192,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
2020-2021,Bundesliga,Hertha BSC,2020-09-19,Alexander Schwolow,1,de GER,GK,28-109,90,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,
2020-2021,Bundesliga,Union Berlin,2020-09-19,Marcus Ingvartsen,32,dk DEN,FW,24-259,85,0,0,0,1,0,1,1,0,0,0,0,0,2,4,8,33.3
2020-2021,Bundesliga,Union Berlin,2020-09-19,Joshua Mees,8,de GER,FW,24-157,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,100.0
2020-2021,Bundesliga,Union Berlin,2020-09-19,Marius Bülter,15,de GER,LW,27-174,90,0,0,0,0,2,0,4,0,3,0,0,0,6,1,1,50.0
2020-2021,Bundesliga,Union Berlin,2020-09-19,Sheraldo Becker,27,nl NED,RW,25-223,70,0,0,0,0,0,0,0,0,0,0,0,0,5,1,2,33.3
2020-2021,Bundesliga,Union Berlin,2020-09-19,Max Kruse,10,de GER,RW,32-184,20,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0.0
2020-2021,Bundesliga,Union Berlin,2020-09-19,Grischa Prömel,21,de GER,CM,25-254,70,0,0,0,1,2,2,2,1,1,0,0,0,6,1,0,100.0
2020-2021,Bundesliga,Union Berlin,2020-09-19,Cedric Teuchert,36,de GER,CM,23-249,20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0.0
2020-2021,Bundesliga,Union Berlin,2020-09-19,Christian Gentner,34,de GER,CM,35-036,24,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,
2020-2021,Bundesliga,Union Berlin,2020-09-19,Sebastian Griesbeck,33,de GER,CM,29-352,66,1,0,0,2,0,0,1,0,1,0,0,0,6,2,2,50.0
2020-2021,Bundesliga,Union Berlin,2020-09-19,Robert Andrich,30,de GER,DM,25-363,90,0,0,0,1,1,0,0,0,2,0,0,0,12,0,1,0.0
2020-2021,Bundesliga,Union Berlin,2020-09-19,Christopher Lenz,25,de GER,LB,25-363,85,0,0,0,1,0,0,5,1,0,0,0,0,12,5,3,62.5
2020-2021,Bundesliga,Union Berlin,2020-09-19,Niko Gießelmann,23,de GER,LB,28-359,5,0,0,0,0,0,0,3,0,0,0,0,0,5,1,2,33.3
2020-2021,Bundesliga,Union Berlin,2020-09-19,Robin Knoche,31,de GER,CB,28-120,90,0,0,0,2,1,0,0,0,1,0,0,0,22,1,1,50.0
2020-2021,Bundesliga,Union Berlin,2020-09-19,Marvin Friedrich,5,de GER,CB,24-281,90,0,0,0,1,0,0,0,2,0,0,0,0,13,2,2,50.0
2020-2021,Bundesliga,Union Berlin,2020-09-19,Christopher Trimmel,28,at AUT,RB,33-208,90,1,0,0,1,1,1,4,1,3,0,0,0,20,0,0,
2020-2021,Bundesliga,Union Berlin,2020-09-19,Andreas Luthe,1,de GER,GK,33-193,90,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,
2020-2021,Bundesliga,Augsburg,2020-09-19,Florian Niederlechner,7,de GER,FW,29-331,75,0,0,0,1,1,1,0,0,1,0,0,0,4,1,1,50.0
2020-2021,Bundesliga,Augsburg,2020-09-19,Alfreð Finnbogason,27,is ISL,FW,31-231,15,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
2020-2021,Bundesliga,Augsburg,2020-09-19,Ruben Vargas,16,ch SUI,LW,22-045,75,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,
2020-2021,Bundesliga,Augsburg,2020-09-19,André Hahn,28,de GER,RW,30-037,15,0,0,0,0,0,0,0,0,2,0,0,0,1,4,1,80.0
