Season,League,Team,Date,Player,#,Nation,Pos,Age,Min,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%
2019-2020,Bundesliga,Wolfsburg,2020-06-27,Robin Knoche,31,de GER,CB,28-036,17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
2019-2020,Bundesliga,Wolfsburg,2020-06-27,Marin Pongračić,22,hr CRO,CB,22-290,90,0,0,0,0,0,0,0,1,1,0,0,0,8,0,0,
2019-2020,Bundesliga,Wolfsburg,2020-06-27,Kevin Mbabu,19,ch SUI,RB,25-069,90,0,0,0,0,0,0,6,1,2,0,0,0,13,2,0,100.0
2019-2020,Bundesliga,Wolfsburg,2020-06-27,Koen Casteels,1,be BEL,GK,28-002,90,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,
2019-2020,Bundesliga,Bayern Munich,2020-06-27,Robert Lewandowski,9,pl POL,FW,31-311,90,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,
2019-2020,Bundesliga,Bayern Munich,2020-06-27,Kingsley Coman,29,fr FRA,LW,24-014,61,0,0,0,1,2,0,1,0,0,0,0,0,8,1,1,50.0
2019-2020,Bundesliga,Bayern Munich,2020-06-27,Ivan Perišić,14,hr CRO,"LW,RW",31-146,29,0,0,0,0,0,0,3,0,1,0,0,0,3,2,0,100.0
2019-2020,Bundesliga,Bayern Munich,2020-06-27,Serge Gnabry,22,de GER,RW,24-349,61,0,0,0,0,2,0,3,2,0,0,0,0,7,1,0,100.0
2019-2020,Bundesliga,Bayern Munich,2020-06-27,Philippe Coutinho,10,br BRA,"AM,LW",28-015,29,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0.0
2019-2020,Bundesliga,Bayern Munich,2020-06-27,Thomas Müller,25,de GER,"AM,RW",30-288,90,0,0,0,0,1,1,1,0,2,0,0,0,5,0,1,0.0
2019-2020,Bundesliga,Bayern Munich,2020-06-27,Leon Goretzka,18,de GER,DM,25-142,79,0,0,0,1,2,0,0,0,2,0,0,0,10,0,1,0.0
2019-2020,Bundesliga,Bayern Munich,2020-06-27,Joshua Kimmich,32,de GER,DM,25-140,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
2019-2020,Bundesliga,Bayern Munich,2020-06-27,Mickaël Cuisance,11,fr FRA,DM,20-316,90,0,0,0,3,3,0,1,0,2,1,0,0,6,0,1,0.0
2019-2020,Bundesliga,Bayern Munich,2020-06-27,Alphonso Davies,19,ca CAN,LB,19-238,90,0,0,0,1,1,0,1,1,3,0,0,0,12,1,0,100.0
2019-2020,Bundesliga,Bayern Munich,2020-06-27,David Alaba,27,at AUT,CB,28-003,79,0,0,0,1,0,0,0,0,1,0,0,0,7,1,1,50.0
2019-2020,Bundesliga,Bayern Munich,2020-06-27,Lucas Hernández,21,fr FRA,CB,24-134,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0
2019-2020,Bundesliga,Bayern Munich,2020-06-27,Jérôme Boateng,17,de GER,CB,31-298,90,0,0,0,1,0,0,0,0,0,0,0,0,12,2,0,100.0
2019-2020,Bundesliga,Bayern Munich,2020-06-27,Álvaro Odriozola,2,es ESP,RB,24-196,61,0,0,0,0,1,0,2,0,0,0,0,0,3,1,3,25.0
2019-2020,Bundesliga,Bayern Munich,2020-06-27,Benjamin Pavard,5,fr FRA,RB,24-091,29,0,0,0,1,0,0,3,0,0,0,0,0,4,1,0,100.0
2019-2020,Bundesliga,Bayern Munich,2020-06-27,Manuel Neuer,1,de GER,GK,34-092,90,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,
2019-2020,Bundesliga,Augsburg,2020-06-27,Alfreð Finnbogason,27,is ISL,FW,31-147,63,0,0,0,0,1,0,0,0,1,0,0,0,0,1,4,20.0
2019-2020,Bundesliga,Augsburg,2020-06-27,Reece Oxford,36,eng ENG,"DM,FW",21-194,27,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,
2019-2020,Bundesliga,Augsburg,2020-06-27,Ruben Vargas,16,ch SUI,"LW,CM",21-327,84,0,0,0,1,1,0,1,0,1,0,0,0,7,0,1,0.0
2019-2020,Bundesliga,Augsburg,2020-06-27,Noah Joel Sarenren Bazee,17,ng NGA,CM,23-311,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
2019-2020,Bundesliga,Augsburg,2020-06-27,André Hahn,28,de GER,RW,29-319,63,1,0,0,4,1,0,1,2,0,0,0,0,3,4,1,80.0
2019-2020,Bundesliga,Augsburg,2020-06-27,Sergio Córdova,9,ve VEN,"FW,RW",22-323,27,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,0.0
2019-2020,Bundesliga,Augsburg,2020-06-27,Marco Richter,23,de GER,"AM,CM",22-216,84,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1,50.0
2019-2020,Bundesliga,Augsburg,2020-06-27,Eduard Löwen,29,de GER,CM,23-151,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
2019-2020,Bundesliga,Augsburg,2020-06-27,Carlos Gruezo,25,ec ECU,DM,25-069,90,1,0,0,3,2,0,0,0,2,0,0,0,8,0,1,0.0
2019-2020,Bundesliga,Augsburg,2020-06-27,Rani Khedira,8,de GER,DM,26-152,74,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,
2019-2020,Bundesliga,Augsburg,2020-06-27,Marek Suchý,5,cz CZE,CB,32-090,16,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,
2019-2020,Bundesliga,Augsburg,2020-06-27,Philipp Max,31,de GER,"LB,WB",26-271,90,1,0,0,1,2,0,3,2,1,0,0,0,6,0,1,0.0
2019-2020,Bundesliga,Augsburg,2020-06-27,Ohis Felix Uduokhai,19,de GER,CB,22-292,90,0,0,0,1,1,0,0,0,5,0,0,0,7,1,0,100.0
2019-2020,Bundesliga,Augsburg,2020-06-27,Jeffrey Gouweleeuw,6,nl NED,CB,28-353,90,0,0,0,0,1,0,0,2,1,0,0,0,6,0,1,0.0
2019-2020,Bundesliga,Augsburg,2020-06-27,Tin Jedvaj,18,hr CRO,"RB,WB",24-212,90,1,0,0,1,0,1,0,0,1,0,0,0,7,1,2,33.3
2019-2020,Bundesliga,Augsburg,2020-06-27,Tomáš Koubek,21,cz CZE,GK,27-306,90,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,
2019-2020,Bundesliga,RB Leipzig,2020-06-27,Timo Werner,11,de GER,FW,24-113,81,0,0,0,0,0,2,0,0,0,0,0,0,2,1,0,100.0
2019-2020,Bundesliga,RB Leipzig,2020-06-27,Dennis Borkowski,41,de GER,FW,18-153,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
2019-2020,Bundesliga,RB Leipzig,2020-06-27,Emil Forsberg,10,se SWE,LW,28-248,90,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
2019-2020,Bundesliga,RB Leipzig,2020-06-27,Dani Olmo,25,es ESP,RW,22-051,73,0,0,0,1,2,0,1,0,2,0,0,0,4,0,0,
2019-2020,Bundesliga,RB Leipzig,2020-06-27,Christopher Nkunku,18,fr FRA,RW,22-226,17,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,
2019-2020,Bundesliga,RB Leipzig,2020-06-27,Amadou Haidara,8,ml MLI,CM,22-148,81,0,0,0,1,2,0,0,0,3,0,0,0,18,2,1,66.7
2019-2020,Bundesliga,RB Leipzig,2020-06-27,Kevin Kampl,44,si SVN,CM,29-262,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2019-2020,Bundesliga,RB Leipzig,2020-06-27,Tyler Adams,14,us USA,CM,21-134,86,0,0,0,0,2,0,0,1,0,0,0,0,8,1,1,50.0
2019-2020,Bundesliga,RB Leipzig,2020-06-27,Tom Krauß,53,de GER,CM,19-005,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,
2019-2020,Bundesliga,RB Leipzig,2020-06-27,Angeliño,3,es ESP,WB,23-175,90,0,0,0,1,2,1,4,1,1,0,0,0,11,0,1,0.0
2019-2020,Bundesliga,RB Leipzig,2020-06-27,Nordi Mukiele,22,fr FRA,WB,22-239,90,1,0,0,3,0,0,2,0,3,0,0,0,3,4,0,100.0
2019-2020,Bundesliga,RB Leipzig,2020-06-27,Marcel Halstenberg,23,de GER,CB,28-274,90,0,0,0,3,0,0,0,1,1,0,0,0,11,0,4,0.0
2019-2020,Bundesliga,RB Leipzig,2020-06-27,Dayot Upamecano,5,fr FRA,CB,21-244,90,0,0,0,2,0,0,0,0,0,0,0,0,11,3,1,75.0
2019-2020,Bundesliga,RB Leipzig,2020-06-27,Ibrahima Konaté,6,fr FRA,CB,21-033,90,0,0,0,0,2,0,0,0,2,0,0,0,19,5,0,100.0
2019-2020,Bundesliga,RB Leipzig,2020-06-27,Yvon Mvogo,28,ch SUI,GK,26-021,90,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,
2019-2020,Bundesliga,M'Gladbach,2020-06-27,Breel Embolo,36,ch SUI,FW,23-134,87,0,0,0,1,7,0,0,0,0,0,0,0,12,0,2,0.0
2019-2020,Bundesliga,M'Gladbach,2020-06-27,László Bénes,22,sk SVK,FW,22-292,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,
2019-2020,Bundesliga,M'Gladbach,2020-06-27,Jonas Hofmann,23,de GER,LW,27-349,90,0,0,0,0,1,0,4,0,1,0,0,0,3,0,0,
2019-2020,Bundesliga,M'Gladbach,2020-06-27,Patrick Herrmann,7,de GER,RW,29-136,59,0,0,0,1,1,0,2,1,0,0,0,0,5,1,0,100.0
2019-2020,Bundesliga,M'Gladbach,2020-06-27,Ibrahima Traoré,16,gn GUI,RW,32-067,31,0,0,0,1,1,0,0,0,1,0,0,0,3,0,0,
2019-2020,Bundesliga,M'Gladbach,2020-06-27,Lars Stindl,13,de GER,AM,31-306,89,0,0,0,0,3,0,0,0,0,0,0,0,8,1,0,100.0
2019-2020,Bundesliga,M'Gladbach,2020-06-27,Raffael,11,br BRA,AM,35-091,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2019-2020,Bundesliga,M'Gladbach,2020-06-27,Florian Neuhaus,32,de GER,CM,23-103,90,0,0,0,1,1,0,0,0,1,0,0,0,10,1,0,100.0
2019-2020,Bundesliga,M'Gladbach,2020-06-27,Christoph Kramer,6,de GER,CM,29-129,90,1,0,0,1,2,0,1,0,1,0,0,0,8,0,0,
2019-2020,Bundesliga,M'Gladbach,2020-06-27,Ramy Bensebaini,25,dz ALG,LB,25-072,90,0,0,0,2,0,0,0,1,0,0,0,0,5,1,1,50.0
2019-2020,Bundesliga,M'Gladbach,2020-06-27,Nico Elvedi,30,ch SUI,CB,23-271,90,0,0,0,2,1,0,0,1,1,0,0,0,9,5,2,71.4
2019-2020,Bundesliga,M'Gladbach,2020-06-27,Matthias Ginter,28,de GER,CB,26-160,90,0,0,0,0,2,0,0,1,0,0,0,0,8,5,1,83.3
2019-2020,Bundesliga,M'Gladbach,2020-06-27,Stefan Lainer,18,at AUT,RB,27-305,89,0,0,0,0,1,0,2,0,1,0,0,0,13,3,0,100.0
2019-2020,Bundesliga,M'Gladbach,2020-06-27,Tony Jantschke,24,de GER,RB,30-081,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2019-2020,Bundesliga,M'Gladbach,2020-06-27,Yann Sommer,1,ch SUI,GK,31-193,90,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,
2019-2020,Bundesliga,Hertha BSC,2020-06-27,Krzysztof Piątek,7,pl POL,FW,24-362,90,0,0,0,2,1,2,1,0,0,0,0,0,3,1,9,10.0
2019-2020,Bundesliga,Hertha BSC,2020-06-27,Matheus Cunha,26,br BRA,"LW,DM,LM",21-031,90,0,0,0,3,2,0,1,0,2,0,0,0,9,0,1,0.0
2019-2020,Bundesliga,Hertha BSC,2020-06-27,Dodi Lukebakio,28,be BEL,"RW,LM,RM",22-277,90,0,0,0,0,2,0,0,1,3,0,0,0,3,2,0,100.0
2019-2020,Bundesliga,Hertha BSC,2020-06-27,Vladimír Darida,6,cz CZE,AM,29-324,66,0,0,0,1,1,0,0,0,0,0,0,0,4,0,2,0.0
2019-2020,Bundesliga,Hertha BSC,2020-06-27,Vedad Ibišević,19,ba BIH,FW,35-326,24,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
2019-2020,Bundesliga,Hertha BSC,2020-06-27,Marko Grujić,15,rs SRB,DM,24-075,45,0,0,0,1,0,0,0,0,1,0,0,0,4,0,0,
2019-2020,Bundesliga,Hertha BSC,2020-06-27,Per Ciljan Skjelbred,3,no NOR,DM,33-011,30,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,
2019-2020,Bundesliga,Hertha BSC,2020-06-27,Jessic Ngankam,33,de GER,RM,19-343,15,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,
2019-2020,Bundesliga,Hertha BSC,2020-06-27,Niklas Stark,5,de GER,"DM,CB",25-074,90,1,0,0,5,1,0,0,0,0,0,0,0,8,1,1,50.0
2019-2020,Bundesliga,Hertha BSC,2020-06-27,Marvin Plattenhardt,21,de GER,LB,28-153,45,0,0,0,2,0,0,1,0,0,0,0,0,5,0,0,
2019-2020,Bundesliga,Hertha BSC,2020-06-27,Arne Maier,23,de GER,DM,21-171,45,0,0,0,1,1,0,1,0,0,0,0,0,6,0,1,0.0
2019-2020,Bundesliga,Hertha BSC,2020-06-27,Jordan Torunarigha,25,de GER,"CB,LB",22-325,90,0,0,0,2,0,0,0,1,1,0,0,0,6,1,2,33.3
2019-2020,Bundesliga,Hertha BSC,2020-06-27,Dedryck Boyata,20,be BEL,CB,29-212,90,0,0,0,0,0,0,0,0,2,0,0,0,6,0,1,0.0
2019-2020,Bundesliga,Hertha BSC,2020-06-27,Alexander Esswein,9,de GER,RB,30-094,45,0,0,0,0,1,0,2,0,1,0,0,0,7,0,0,
2019-2020,Bundesliga,Hertha BSC,2020-06-27,Mathew Leckie,11,au AUS,RB,29-144,45,0,0,0,1,0,0,1,0,0,0,0,0,5,1,0,100.0
2019-2020,Bundesliga,Hertha BSC,2020-06-27,Dennis Smarsch,12,de GER,GK,21-165,90,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
2019-2020,Bundesliga,Leverkusen,2020-06-27,Kevin Volland,31,de GER,FW,27-333,90,0,0,0,1,0,2,0,0,1,0,0,0,1,1,4,20.0
2019-2020,Bundesliga,Leverkusen,2020-06-27,Nadiem Amiri,11,de GER,AM,23-244,64,0,0,0,0,3,0,2,0,0,0,0,0,5,0,2,0.0
2019-2020,Bundesliga,Leverkusen,2020-06-27,Kai Havertz,29,de GER,AM,21-016,26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0.0
2019-2020,Bundesliga,Leverkusen,2020-06-27,Leon Bailey,9,jm JAM,LM,22-323,64,0,0,0,0,2,0,1,0,0,0,0,0,4,0,1,0.0
2019-2020,Bundesliga,Leverkusen,2020-06-27,Moussa Diaby,19,fr FRA,LM,20-356,26,0,0,0,1,0,0,1,0,0,0,0,0,1,0,2,0.0
2019-2020,Bundesliga,Leverkusen,2020-06-27,Florian Wirtz,27,de GER,RM,17-055,90,0,0,0,2,1,1,3,1,1,0,0,0,5,0,2,0.0
2019-2020,Bundesliga,Leverkusen,2020-06-27,Kerem Demirbay,10,de GER,DM,26-360,45,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
2019-2020,Bundesliga,Leverkusen,2020-06-27,Charles Aránguiz,20,cl CHI,DM,31-071,45,0,0,0,0,0,0,0,0,4,0,0,0,5,1,0,100.0
2019-2020,Bundesliga,Leverkusen,2020-06-27,Julian Baumgartlinger,15,at AUT,DM,32-177,90,1,0,0,3,1,0,1,1,1,0,0,0,9,1,2,33.3
2019-2020,Bundesliga,Leverkusen,2020-06-27,Daley Sinkgraven,22,nl NED,LB,24-359,84,0,0,0,1,0,0,1,0,1,0,0,0,10,0,2,0.0
2019-2020,Bundesliga,Leverkusen,2020-06-27,Edmond Tapsoba,12,bf BFA,LB,21-146,6,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,
2019-2020,Bundesliga,Leverkusen,2020-06-27,Sven Bender,5,de GER,CB,31-061,90,0,0,0,1,0,0,0,4,2,0,0,0,8,3,2,60.0
2019-2020,Bundesliga,Leverkusen,2020-06-27,Jonathan Tah,4,de GER,CB,24-137,90,0,0,0,1,1,0,1,0,1,0,0,0,13,3,1,75.0
2019-2020,Bundesliga,Leverkusen,2020-06-27,Lars Bender,8,de GER,RB,31-061,45,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,
2019-2020,Bundesliga,Leverkusen,2020-06-27,Mitchell Weiser,23,de GER,RB,26-067,45,0,0,0,0,1,0,2,0,1,0,0,0,4,2,0,100.0
2019-2020,Bundesliga,Leverkusen,2020-06-27,Lukáš Hrádecký,1,fi FIN,GK,30-216,90,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,
2019-2020,Bundesliga,Mainz 05,2020-06-27,Jean-Philippe Mateta,9,fr FRA,FW,22-365,68,0,0,0,0,0,1,0,0,1,0,0,0,2,2,1,66.7
2019-2020,Bundesliga,Mainz 05,2020-06-27,Ji Dong-won,11,kr KOR,FW,29-030,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
2019-2020,Bundesliga,Mainz 05,2020-06-27,Karim Onisiwo,21,at AUT,"LW,RW",28-102,90,0,0,0,1,0,0,1,0,0,0,0,0,3,3,2,60.0
2019-2020,Bundesliga,Mainz 05,2020-06-27,Jonathan Burkardt,29,de GER,"RW,LW",19-352,84,0,0,0,1,2,0,0,1,2,0,0,0,11,1,2,33.3
2019-2020,Bundesliga,Mainz 05,2020-06-27,Edimilson Fernandes,20,ch SUI,LW,24-073,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,
2019-2020,Bundesliga,Mainz 05,2020-06-27,Robin Quaison,7,se SWE,AM,26-262,68,0,0,0,1,2,0,0,1,2,0,0,0,3,0,1,0.0
2019-2020,Bundesliga,Mainz 05,2020-06-27,Levin Öztunalı,8,de GER,AM,24-104,22,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,100.0
2019-2020,Bundesliga,Mainz 05,2020-06-27,Pierre Kunde,14,cm CMR,DM,24-337,90,0,0,0,1,2,0,0,1,1,0,0,0,15,1,0,100.0
2019-2020,Bundesliga,Mainz 05,2020-06-27,Danny Latza,6,de GER,DM,30-203,90,0,0,0,2,0,0,1,1,2,0,0,0,5,0,2,0.0
2019-2020,Bundesliga,Mainz 05,2020-06-27,Aarón Martín,3,es ESP,LB,23-066,45,0,0,0,0,0,0,0,0,1,0,0,0,4,1,0,100.0
2019-2020,Bundesliga,Mainz 05,2020-06-27,Daniel Brosinski,18,de GER,LB,31-346,45,0,0,0,0,1,0,1,0,0,0,0,0,4,1,1,50.0
2019-2020,Bundesliga,Mainz 05,2020-06-27,Moussa Niakhate,19,fr FRA,CB,24-111,90,1,0,0,2,1,0,0,1,1,0,0,0,12,6,0,100.0
2019-2020,Bundesliga,Mainz 05,2020-06-27,Jerry St. Juste,4,nl NED,CB,23-252,73,0,0,0,2,2,0,0,2,0,0,0,0,7,2,1,66.7
2019-2020,Bundesliga,Mainz 05,2020-06-27,Alexander Hack,42,de GER,CB,26-293,17,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,
2019-2020,Bundesliga,Mainz 05,2020-06-27,Ridle Baku,34,de GER,RB,22-080,90,0,0,0,0,1,0,2,0,1,0,0,0,7,2,0,100.0
2019-2020,Bundesliga,Mainz 05,2020-06-27,Florian Müller,1,de GER,GK,22-227,90,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,
2019-2020,Bundesliga,Freiburg,2020-06-27,Lucas Höler,9,de GER,FW,25-353,65,0,0,0,1,1,0,0,1,1,0,0,0,5,4,0,100.0
2019-2020,Bundesliga,Freiburg,2020-06-27,Nils Petersen,18,de GER,FW,31-204,25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
2019-2020,Bundesliga,Freiburg,2020-06-27,Luca Waldschmidt,11,de GER,FW,24-039,65,0,0,0,1,1,0,0,1,0,0,0,0,5,0,0,
2019-2020,Bundesliga,Freiburg,2020-06-27,Kwon Chang-hoon,28,kr KOR,FW,25-363,25,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
2019-2020,Bundesliga,Freiburg,2020-06-27,Vincenzo Grifo,32,it ITA,AM,27-081,90,0,0,0,1,0,1,0,0,0,0,0,0,3,0,0,
2019-2020,Bundesliga,Freiburg,2020-06-27,Roland Sallai,22,hu HUN,AM,23-036,90,0,0,0,4,1,1,1,0,1,0,0,0,10,1,0,100.0
2019-2020,Bundesliga,Freiburg,2020-06-27,Nicolas Höfler,27,de GER,DM,30-110,73,0,0,0,1,0,0,0,2,2,0,0,0,6,1,1,50.0
2019-2020,Bundesliga,Freiburg,2020-06-27,Robin Koch,25,de GER,"CB,DM",23-346,17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
2019-2020,Bundesliga,Freiburg,2020-06-27,Yannik Keitel,36,de GER,DM,20-133,66,0,0,0,1,0,0,1,2,0,0,0,0,7,2,1,66.7
2019-2020,Bundesliga,Freiburg,2020-06-27,Amir Abrashi,6,al ALB,DM,30-092,24,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,
2019-2020,Bundesliga,Freiburg,2020-06-27,Christian Günter,30,de GER,LB,27-120,90,0,0,0,2,1,0,7,0,4,0,0,0,7,0,1,0.0
2019-2020,Bundesliga,Freiburg,2020-06-27,Dominique Heintz,23,de GER,CB,26-317,90,0,0,0,1,0,0,0,1,0,0,0,0,3,0,0,
2019-2020,Bundesliga,Freiburg,2020-06-27,Philipp Lienhart,3,at AUT,CB,23-352,74,1,0,0,1,0,0,0,0,0,0,0,0,2,2,0,100.0
2019-2020,Bundesliga,Freiburg,2020-06-27,Mike Frantz,8,de GER,"DM,CB",33-257,16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
2019-2020,Bundesliga,Freiburg,2020-06-27,Jonathan Schmid,7,fr FRA,RB,30-001,90,0,0,0,1,0,1,1,0,0,0,0,0,5,1,1,50.0
2019-2020,Bundesliga,Freiburg,2020-06-27,Mark Flekken,26,nl NED,GK,27-014,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2019-2020,Bundesliga,Schalke 04,2020-06-27,Ahmed Kutucu,15,tr TUR,FW,20-118,45,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0.0
2019-2020,Bundesliga,Schalke 04,2020-06-27,Benito Raman,9,be BEL,FW,25-233,45,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
2019-2020,Bundesliga,Schalke 04,2020-06-27,Rabbi Matondo,14,wal WAL,FW,19-292,90,0,0,0,0,2,0,2,0,0,0,0,0,6,0,1,0.0
2019-2020,Bundesliga,Schalke 04,2020-06-27,Can Bozdogan,40,de GER,"RM,LM",19-083,90,0,0,0,1,3,1,0,1,1,0,0,0,5,0,2,0.0
2019-2020,Bundesliga,Schalke 04,2020-06-27,Daniel Caligiuri,18,it ITA,"RM,RB",32-164,90,0,0,0,0,3,0,3,0,2,0,0,0,8,1,0,100.0
2019-2020,Bundesliga,Schalke 04,2020-06-27,Weston McKennie,2,us USA,DM,21-304,90,0,0,0,0,0,0,1,0,1,0,0,0,5,2,3,40.0
2019-2020,Bundesliga,Schalke 04,2020-06-27,Alessandro Schöpf,28,at AUT,DM,26-141,90,0,0,0,0,0,0,0,2,1,0,0,0,7,0,0,
2019-2020,Bundesliga,Schalke 04,2020-06-27,Juan Miranda,3,es ESP,LB,20-160,90,0,0,0,1,3,0,6,0,1,0,0,0,9,0,0,
2019-2020,Bundesliga,Schalke 04,2020-06-27,Bastian Oczipka,24,de GER,CB,31-167,90,0,0,0,0,2,0,1,0,3,0,0,0,8,0,1,0.0
2019-2020,Bundesliga,Schalke 04,2020-06-27,Ozan Kabak,4,tr TUR,CB,20-094,45,0,0,0,1,0,0,0,0,2,0,0,0,6,0,1,0.0
2019-2020,Bundesliga,Schalke 04,2020-06-27,Malick Thiaw,33,de GER,CB,18-324,45,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0.0
2019-2020,Bundesliga,Schalke 04,2020-06-27,Timo Becker,31,de GER,RB,23-094,45,0,0,0,0,0,0,1,0,1,0,0,0,4,1,0,100.0
2019-2020,Bundesliga,Schalke 04,2020-06-27,Nassim Boujellab,16,ma MAR,LM,21-007,45,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0
2019-2020,Bundesliga,Schalke 04,2020-06-27,Alexander Nübel,35,de GER,GK,23-271,90,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,
2019-2020,Bundesliga,Union Berlin,2020-06-27,Anthony Ujah,11,ng NGA,FW,29-257,61,0,0,0,3,0,0,0,0,0,0,0,0,2,8,4,66.7
2019-2020,Bundesliga,Union Berlin,2020-06-27,Suleiman Abdullahi,20,ng NGA,FW,23-200,29,0,0,0,0,0,1,1,0,0,0,0,0,2,1,8,11.1
2019-2020,Bundesliga,Union Berlin,2020-06-27,Joshua Mees,8,de GER,LM,24-073,61,0,0,0,1,0,0,0,0,1,0,0,0,6,1,1,50.0
2019-2020,Bundesliga,Union Berlin,2020-06-27,Manuel Schmiedebach,24,de GER,"LM,DM",31-205,29,0,0,0,2,0,0,0,1,0,0,0,0,2,0,0,
2019-2020,Bundesliga,Union Berlin,2020-06-27,Grischa Prömel,21,de GER,CM,25-170,65,0,0,0,1,0,0,0,1,2,0,0,0,4,0,3,0.0
2019-2020,Bundesliga,Union Berlin,2020-06-27,Sheraldo Becker,27,nl NED,"CM,RW",25-139,25,0,0,0,0,1,0,1,0,0,0,0,0,2,0,1,0.0
2019-2020,Bundesliga,Union Berlin,2020-06-27,Christian Gentner,34,de GER,"CM,LW",34-318,90,0,0,0,1,1,1,0,1,1,0,0,0,13,0,1,0.0
2019-2020,Bundesliga,Union Berlin,2020-06-27,Marius Bülter,15,de GER,RM,27-090,81,0,0,0,2,0,0,0,0,0,0,0,0,8,3,1,75.0
2019-2020,Bundesliga,Union Berlin,2020-06-27,Michael Parensen,29,de GER,"CB,RM",34-003,9,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,
2019-2020,Bundesliga,Union Berlin,2020-06-27,Felix Kroos,23,de GER,DM,29-107,61,0,0,0,2,0,0,1,0,1,0,0,0,4,1,1,50.0
2019-2020,Bundesliga,Union Berlin,2020-06-27,Yunus Mallı,18,tr TUR,DM,28-124,29,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,
2019-2020,Bundesliga,Union Berlin,2020-06-27,Ken Reichel,14,de GER,"LB,WB",33-191,90,0,0,0,2,1,0,0,1,0,0,0,0,11,2,3,40.0
2019-2020,Bundesliga,Union Berlin,2020-06-27,Keven Schlotterbeck,31,de GER,CB,23-060,90,0,0,0,1,2,0,0,0,4,0,0,0,16,5,2,71.4
2019-2020,Bundesliga,Union Berlin,2020-06-27,Marvin Friedrich,5,de GER,CB,24-197,90,0,0,0,1,0,0,0,1,1,0,0,0,10,0,9,0.0
2019-2020,Bundesliga,Union Berlin,2020-06-27,Christopher Trimmel,28,at AUT,"RB,WB",33-124,90,0,0,0,1,0,0,1,0,1,0,0,0,7,3,1,75.0
2019-2020,Bundesliga,Union Berlin,2020-06-27,Rafał Gikiewicz,1,pl POL,GK,32-245,90,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,
