Team_Home,Team_Away,USxg_Home,USxg_Away,Date,USProb_Home,USProb_Away,Season,League
Huddersfield,Bournemouth,0.339087,2.16389,2019-03-09,0.0161,0.9017,2018-2019,EPL
Southampton,Tottenham,2.07772,1.26876,2019-03-09,0.5939,0.1794,2018-2019,EPL
Cardiff City,West Ham,3.49275,0.295869,2019-03-09,0.9874,0.0013,2018-2019,EPL
Atlético Madrid,Leganés,1.36052,0.102711,2019-03-09,0.8861,0.0079,2018-2019,LaLiga
Strasbourg,Lyon,0.590414,3.36381,2019-03-09,0.0118,0.944,2018-2019,Ligue1
Parma,Genoa,1.50516,0.59585,2019-03-09,0.6729,0.0878,2018-2019,SerieA
Mainz 05,M'Gladbach,0.578029,1.20097,2019-03-09,0.148,0.5573,2018-2019,Bundesliga
Manchester City,Watford,3.75714,0.407168,2019-03-09,0.9836,0.0016,2018-2019,EPL
Barcelona,Rayo Vallecano,3.27738,0.283535,2019-03-09,0.9655,0.0057,2018-2019,LaLiga
Monaco,Bordeaux,0.762295,1.56603,2019-03-09,0.1284,0.6293,2018-2019,Ligue1
Amiens,Nîmes,2.30832,0.756547,2019-03-09,0.7795,0.0644,2018-2019,Ligue1
Dijon,Reims,0.829466,2.87131,2019-03-09,0.0377,0.8405,2018-2019,Ligue1
Chievo,Milan,0.263355,1.70597,2019-03-09,0.0322,0.8217,2018-2019,SerieA
Getafe,Huesca,1.32144,0.930257,2019-03-09,0.4601,0.2072,2018-2019,LaLiga
Celta Vigo,Betis,0.336565,1.4229,2019-03-10,0.0676,0.6987,2018-2019,LaLiga
Bologna,Cagliari,3.33422,0.528818,2019-03-10,0.942,0.0115,2018-2019,SerieA
Liverpool,Burnley,4.12341,0.471571,2019-03-10,0.9967,0.0,2018-2019,EPL
Toulouse,Guingamp,1.6201,0.508737,2019-03-10,0.669,0.0889,2018-2019,Ligue1
Sampdoria,Atalanta,1.95045,1.89116,2019-03-10,0.3883,0.3527,2018-2019,SerieA
Frosinone,Torino,1.10791,0.878122,2019-03-10,0.4155,0.2715,2018-2019,SerieA
Saint-Étienne,Lille,0.309982,1.56667,2019-03-10,0.0609,0.7216,2018-2019,Ligue1
Inter,SPAL,0.742227,0.167568,2019-03-10,0.4782,0.0726,2018-2019,SerieA
Montpellier,Angers,1.13122,1.09374,2019-03-10,0.366,0.3246,2018-2019,Ligue1
Chelsea,Wolves,1.0471,0.609079,2019-03-10,0.4281,0.2029,2018-2019,EPL
Hoffenheim,Nürnberg,2.64002,0.79045,2019-03-10,0.8329,0.0422,2018-2019,Bundesliga
Girona,Valencia,2.26151,1.12034,2019-03-10,0.6852,0.119,2018-2019,LaLiga
Rennes,Caen,1.89298,0.179397,2019-03-10,0.8509,0.0198,2018-2019,Ligue1
Arsenal,Manchester Utd,1.52723,2.3703,2019-03-10,0.1667,0.6063,2018-2019,EPL
Hannover 96,Leverkusen,0.672836,2.44206,2019-03-10,0.0372,0.8409,2018-2019,Bundesliga
Sassuolo,Napoli,1.02736,0.720283,2019-03-10,0.4349,0.2136,2018-2019,SerieA
Levante,Villarreal,1.12697,0.982637,2019-03-10,0.3764,0.3051,2018-2019,LaLiga
Sevilla,Real Sociedad,2.88735,1.23303,2019-03-10,0.769,0.0765,2018-2019,LaLiga
Fiorentina,Lazio,0.769898,1.02895,2019-03-10,0.2533,0.4243,2018-2019,SerieA
Valladolid,Real Madrid,2.02975,2.61033,2019-03-10,0.2331,0.5127,2018-2019,LaLiga
Marseille,Nice,0.667651,0.506387,2019-03-10,0.3478,0.2403,2018-2019,Ligue1
Roma,Empoli,1.14262,0.191518,2019-03-11,0.6727,0.0497,2018-2019,SerieA
Düsseldorf,Eint Frankfurt,0.837274,2.76254,2019-03-11,0.0241,0.8698,2018-2019,Bundesliga
Dijon,Paris S-G,0.337468,2.75884,2019-03-12,0.007,0.9443,2018-2019,Ligue1
Nice,Toulouse,0.689083,1.05922,2019-03-15,0.2297,0.4379,2018-2019,Ligue1
M'Gladbach,Freiburg,1.17388,0.514838,2019-03-15,0.5654,0.1328,2018-2019,Bundesliga
Cagliari,Fiorentina,2.20449,0.714756,2019-03-15,0.7731,0.0724,2018-2019,SerieA
Lille,Monaco,1.82457,2.02122,2019-03-15,0.3247,0.4218,2018-2019,Ligue1
Real Sociedad,Levante,2.68033,1.05307,2019-03-15,0.7675,0.0741,2018-2019,LaLiga
Huesca,Alavés,1.89009,2.16298,2019-03-16,0.2897,0.4325,2018-2019,LaLiga
Sassuolo,Sampdoria,1.81004,2.5003,2019-03-16,0.2267,0.543,2018-2019,SerieA
Schalke 04,RB Leipzig,1.01343,1.69354,2019-03-16,0.1694,0.5553,2018-2019,Bundesliga
Stuttgart,Hoffenheim,1.35935,2.90274,2019-03-16,0.1128,0.7215,2018-2019,Bundesliga
Wolfsburg,Düsseldorf,3.87623,1.93907,2019-03-16,0.7977,0.0773,2018-2019,Bundesliga
Augsburg,Hannover 96,1.35782,1.4864,2019-03-16,0.3256,0.4037,2018-2019,Bundesliga
West Ham,Huddersfield,1.88114,1.66909,2019-03-16,0.4068,0.3146,2018-2019,EPL
Bournemouth,Newcastle Utd,1.61666,1.02847,2019-03-16,0.5279,0.1685,2018-2019,EPL
Burnley,Leicester City,1.17008,0.608954,2019-03-16,0.5129,0.1739,2018-2019,EPL
Real Madrid,Celta Vigo,3.02092,0.32231,2019-03-16,0.9615,0.0048,2018-2019,LaLiga
SPAL,Roma,1.21905,1.57775,2019-03-16,0.2155,0.4498,2018-2019,SerieA
Hertha BSC,Dortmund,2.20854,2.23731,2019-03-16,0.3708,0.3592,2018-2019,Bundesliga
Athletic Club,Atlético Madrid,1.32158,1.02312,2019-03-16,0.4042,0.196,2018-2019,LaLiga
Guingamp,Dijon,1.20641,0.415835,2019-03-16,0.6435,0.0905,2018-2019,Ligue1
Caen,Saint-Étienne,0.0268116,2.3696,2019-03-16,0.0015,0.9482,2018-2019,Ligue1
Nîmes,Strasbourg,2.35969,0.548576,2019-03-16,0.8559,0.0264,2018-2019,Ligue1
Angers,Amiens,1.41618,0.513682,2019-03-16,0.6648,0.0925,2018-2019,Ligue1
Torino,Bologna,1.44972,1.9758,2019-03-16,0.2234,0.5236,2018-2019,SerieA
Leganés,Girona,0.454611,1.78393,2019-03-16,0.0547,0.7755,2018-2019,LaLiga
Eibar,Valladolid,1.64354,2.20799,2019-03-17,0.2302,0.5209,2018-2019,LaLiga
Genoa,Juventus,1.05123,0.310238,2019-03-17,0.5492,0.1102,2018-2019,SerieA
Leverkusen,Werder Bremen,0.917302,1.31225,2019-03-17,0.2396,0.4769,2018-2019,Bundesliga
Lyon,Montpellier,2.62389,0.739555,2019-03-17,0.8195,0.0523,2018-2019,Ligue1
Empoli,Frosinone,2.33732,1.33238,2019-03-17,0.6372,0.1422,2018-2019,SerieA
Lazio,Parma,1.76513,0.362156,2019-03-17,0.7809,0.0383,2018-2019,SerieA
Reims,Nantes,0.568493,0.290251,2019-03-17,0.3699,0.1445,2018-2019,Ligue1
Atalanta,Chievo,1.50473,0.758033,2019-03-17,0.582,0.1394,2018-2019,SerieA
Fulham,Liverpool,0.915765,2.73437,2019-03-17,0.0355,0.843,2018-2019,EPL
Eint Frankfurt,Nürnberg,2.58949,0.702802,2019-03-17,0.8291,0.0463,2018-2019,Bundesliga
Espanyol,Sevilla,0.665136,1.34192,2019-03-17,0.1451,0.571,2018-2019,LaLiga
Bordeaux,Rennes,1.52147,0.83608,2019-03-17,0.5559,0.0896,2018-2019,Ligue1
Everton,Chelsea,2.24031,1.24394,2019-03-17,0.6548,0.1336,2018-2019,EPL
Bayern Munich,Mainz 05,2.66818,0.302976,2019-03-17,0.9115,0.0148,2018-2019,Bundesliga
Napoli,Udinese,1.5191,0.740408,2019-03-17,0.5985,0.16,2018-2019,SerieA
Villarreal,Rayo Vallecano,2.6756,0.181501,2019-03-17,0.9417,0.0078,2018-2019,LaLiga
Valencia,Getafe,0.506711,0.369827,2019-03-17,0.3084,0.2055,2018-2019,LaLiga
Milan,Inter,1.06311,2.91239,2019-03-17,0.0496,0.826,2018-2019,SerieA
Betis,Barcelona,1.15774,3.79708,2019-03-17,0.0302,0.8974,2018-2019,LaLiga
Paris S-G,Marseille,1.23552,0.189011,2019-03-17,0.755,0.0313,2018-2019,Ligue1
Hoffenheim,Leverkusen,2.4473,1.71436,2019-03-29,0.5716,0.1976,2018-2019,Bundesliga
Chievo,Cagliari,0.858272,1.05607,2019-03-29,0.2716,0.4064,2018-2019,SerieA
Rennes,Lyon,1.34197,1.9168,2019-03-29,0.2271,0.5055,2018-2019,Ligue1
Girona,Athletic Club,0.243937,1.06184,2019-03-29,0.0692,0.6152,2018-2019,LaLiga
Getafe,Leganés,0.793024,1.28305,2019-03-30,0.1814,0.4909,2018-2019,LaLiga
Fulham,Manchester City,0.661491,2.31513,2019-03-30,0.0577,0.7843,2018-2019,EPL
Udinese,Genoa,2.46425,2.06541,2019-03-30,0.4703,0.2897,2018-2019,SerieA
Dortmund,Wolfsburg,1.45093,0.171788,2019-03-30,0.7702,0.0267,2018-2019,Bundesliga
Düsseldorf,M'Gladbach,1.66988,1.34223,2019-03-30,0.461,0.2714,2018-2019,Bundesliga
Freiburg,Bayern Munich,0.719026,3.23843,2019-03-30,0.0288,0.8957,2018-2019,Bundesliga
Nürnberg,Augsburg,1.76901,0.867874,2019-03-30,0.6346,0.1394,2018-2019,Bundesliga
Werder Bremen,Mainz 05,1.22854,0.998556,2019-03-30,0.4246,0.272,2018-2019,Bundesliga
Brighton,Southampton,0.560521,0.857436,2019-03-30,0.2085,0.4262,2018-2019,EPL
Burnley,Wolves,0.572695,0.397928,2019-03-30,0.3443,0.1971,2018-2019,EPL
Crystal Palace,Huddersfield,2.84701,0.926991,2019-03-30,0.8279,0.0582,2018-2019,EPL
Leicester City,Bournemouth,1.8935,0.790333,2019-03-30,0.6519,0.1133,2018-2019,EPL
Manchester Utd,Watford,1.98052,1.35208,2019-03-30,0.5605,0.1762,2018-2019,EPL
Barcelona,Espanyol,1.36012,0.278344,2019-03-30,0.6768,0.0657,2018-2019,LaLiga
Marseille,Angers,0.969941,2.18504,2019-03-30,0.0839,0.717,2018-2019,Ligue1
Juventus,Empoli,1.34489,0.36771,2019-03-30,0.6506,0.0849,2018-2019,SerieA
West Ham,Everton,0.0891639,2.65983,2019-03-30,0.0026,0.9573,2018-2019,EPL
RB Leipzig,Hertha BSC,5.04475,0.895578,2019-03-30,0.9876,0.0023,2018-2019,Bundesliga
Celta Vigo,Villarreal,1.89174,2.58092,2019-03-30,0.2161,0.5553,2018-2019,LaLiga
Sampdoria,Milan,2.09999,1.03959,2019-03-30,0.6289,0.1433,2018-2019,SerieA
Alavés,Atlético Madrid,0.859209,1.91501,2019-03-30,0.1227,0.6591,2018-2019,LaLiga
Levante,Eibar,1.15414,3.00118,2019-03-31,0.0653,0.8067,2018-2019,LaLiga
Parma,Atalanta,0.989022,3.88951,2019-03-31,0.0164,0.9315,2018-2019,SerieA
Dijon,Nice,0.616458,0.762646,2019-03-31,0.2518,0.365,2018-2019,Ligue1
Frosinone,SPAL,1.01961,0.230282,2019-03-31,0.5788,0.0786,2018-2019,SerieA
Amiens,Bordeaux,0.663195,0.543639,2019-03-31,0.3342,0.243,2018-2019,Ligue1
Monaco,Caen,1.58473,0.614797,2019-03-31,0.6374,0.1178,2018-2019,Ligue1
Fiorentina,Torino,2.45876,0.4548,2019-03-31,0.8488,0.0382,2018-2019,SerieA
Roma,Napoli,1.98643,2.64072,2019-03-31,0.224,0.5362,2018-2019,SerieA
Rayo Vallecano,Betis,2.30907,0.494786,2019-03-31,0.826,0.0461,2018-2019,LaLiga
Cardiff City,Chelsea,0.446122,2.07834,2019-03-31,0.0499,0.8061,2018-2019,EPL
Hannover 96,Schalke 04,0.755656,0.864608,2019-03-31,0.2882,0.3611,2018-2019,Bundesliga
Sevilla,Valencia,0.745225,0.923071,2019-03-31,0.2307,0.4115,2018-2019,LaLiga
Nantes,Lille,1.8751,2.62697,2019-03-31,0.1785,0.5704,2018-2019,Ligue1
Liverpool,Tottenham,1.0931,1.04822,2019-03-31,0.3417,0.3369,2018-2019,EPL
Eint Frankfurt,Stuttgart,2.00509,0.569489,2019-03-31,0.7641,0.0722,2018-2019,Bundesliga
Bologna,Sassuolo,2.03348,0.712006,2019-03-31,0.7406,0.0794,2018-2019,SerieA
Valladolid,Real Sociedad,1.99145,0.736713,2019-03-31,0.7437,0.0748,2018-2019,LaLiga
Inter,Lazio,1.53815,1.60065,2019-03-31,0.3407,0.3973,2018-2019,SerieA
Real Madrid,Huesca,4.62852,1.37203,2019-03-31,0.9497,0.0126,2018-2019,LaLiga
Toulouse,Paris S-G,1.1462,1.21757,2019-03-31,0.3032,0.3465,2018-2019,Ligue1
Saint-Étienne,Nîmes,2.20428,1.66277,2019-04-01,0.5087,0.2617,2018-2019,Ligue1
Arsenal,Newcastle Utd,1.04458,0.0441445,2019-04-01,0.6851,0.0132,2018-2019,EPL
Milan,Udinese,2.03815,1.37576,2019-04-02,0.5463,0.1889,2018-2019,SerieA
Atlético Madrid,Girona,2.67949,0.687163,2019-04-02,0.8599,0.0341,2018-2019,LaLiga
Espanyol,Getafe,1.4931,1.61764,2019-04-02,0.3162,0.3727,2018-2019,LaLiga
Watford,Fulham,1.59338,1.90917,2019-04-02,0.2969,0.4583,2018-2019,EPL
Wolves,Manchester Utd,1.65044,2.03847,2019-04-02,0.2727,0.4718,2018-2019,EPL
Cagliari,Juventus,0.451801,3.2423,2019-04-02,0.0134,0.9391,2018-2019,SerieA
Villarreal,Barcelona,2.19549,3.08215,2019-04-02,0.2028,0.6014,2018-2019,LaLiga
Empoli,Napoli,1.47602,0.641571,2019-04-03,0.5915,0.145,2018-2019,SerieA
Montpellier,Guingamp,2.21619,0.48982,2019-04-03,0.8361,0.0361,2018-2019,Ligue1
Strasbourg,Reims,2.46941,0.996951,2019-04-03,0.7728,0.0778,2018-2019,Ligue1
Athletic Club,Levante,1.86572,1.62609,2019-04-03,0.413,0.2866,2018-2019,LaLiga
Eibar,Rayo Vallecano,1.54524,0.960572,2019-04-03,0.5297,0.2011,2018-2019,LaLiga
Huesca,Celta Vigo,3.48876,1.96582,2019-04-03,0.7129,0.1299,2018-2019,LaLiga
Manchester City,Cardiff City,3.53913,0.135788,2019-04-03,0.9821,0.0013,2018-2019,EPL
Chelsea,Brighton,3.12416,0.440898,2019-04-03,0.9375,0.011,2018-2019,EPL
Tottenham,Crystal Palace,2.57376,0.564317,2019-04-03,0.8421,0.0351,2018-2019,EPL
Genoa,Inter,0.452482,2.36256,2019-04-03,0.0307,0.8654,2018-2019,SerieA
Roma,Fiorentina,1.52022,0.88749,2019-04-03,0.5319,0.1905,2018-2019,SerieA
SPAL,Lazio,1.14572,0.510459,2019-04-03,0.5748,0.1229,2018-2019,SerieA
Torino,Sampdoria,0.86608,0.175617,2019-04-03,0.5263,0.072,2018-2019,SerieA
Frosinone,Parma,1.95659,2.02283,2019-04-03,0.3165,0.3844,2018-2019,SerieA
Valencia,Real Madrid,1.76708,0.852925,2019-04-03,0.6284,0.1378,2018-2019,LaLiga
Sassuolo,Chievo,2.1616,1.46618,2019-04-04,0.5453,0.1982,2018-2019,SerieA
Sevilla,Alavés,2.02786,0.590085,2019-04-04,0.7576,0.0664,2018-2019,LaLiga
Leganés,Valladolid,1.85079,0.902127,2019-04-04,0.6199,0.1326,2018-2019,LaLiga
Atalanta,Bologna,1.57662,1.12985,2019-04-04,0.4778,0.2467,2018-2019,SerieA
Real Sociedad,Betis,2.57254,1.42634,2019-04-04,0.6582,0.1464,2018-2019,LaLiga
Mainz 05,Freiburg,2.27396,1.80652,2019-04-05,0.5019,0.2561,2018-2019,Bundesliga
Bordeaux,Marseille,1.53461,1.52509,2019-04-05,0.3698,0.3389,2018-2019,Ligue1
Southampton,Liverpool,0.718394,2.00654,2019-04-05,0.0808,0.7206,2018-2019,EPL
Girona,Espanyol,1.3644,0.408067,2019-04-06,0.6808,0.074,2018-2019,LaLiga
Parma,Torino,0.760063,0.856189,2019-04-06,0.3023,0.3312,2018-2019,SerieA
Schalke 04,Eint Frankfurt,1.19525,2.24621,2019-04-06,0.1027,0.6744,2018-2019,Bundesliga
Wolfsburg,Hannover 96,1.43754,1.54016,2019-04-06,0.3231,0.403,2018-2019,Bundesliga
Leverkusen,RB Leipzig,2.1254,1.44447,2019-04-06,0.5646,0.1792,2018-2019,Bundesliga
Stuttgart,Nürnberg,1.62221,2.37695,2019-04-06,0.2018,0.5796,2018-2019,Bundesliga
Hertha BSC,Düsseldorf,1.90031,2.72781,2019-04-06,0.2024,0.5813,2018-2019,Bundesliga
Huddersfield,Leicester City,1.62301,3.61876,2019-04-06,0.0574,0.816,2018-2019,EPL
Bournemouth,Burnley,1.20888,1.38919,2019-04-06,0.2917,0.4064,2018-2019,EPL
Newcastle Utd,Crystal Palace,0.943175,0.907988,2019-04-06,0.2979,0.3471,2018-2019,EPL
Real Madrid,Eibar,1.70378,0.679412,2019-04-06,0.6657,0.0848,2018-2019,LaLiga
Lyon,Dijon,3.78821,1.1788,2019-04-06,0.8925,0.0307,2018-2019,Ligue1
Juventus,Milan,1.85527,1.47352,2019-04-06,0.4681,0.2693,2018-2019,SerieA
Bayern Munich,Dortmund,4.30876,0.478204,2019-04-06,0.986,0.0017,2018-2019,Bundesliga
Rayo Vallecano,Valencia,1.73543,2.28937,2019-04-06,0.232,0.526,2018-2019,LaLiga
Nîmes,Caen,1.08376,0.18775,2019-04-06,0.6307,0.0579,2018-2019,Ligue1
Angers,Rennes,1.97361,2.1258,2019-04-06,0.3147,0.4125,2018-2019,Ligue1
Guingamp,Monaco,0.507481,2.00597,2019-04-06,0.0545,0.7803,2018-2019,Ligue1
Amiens,Saint-Étienne,1.16144,2.00231,2019-04-06,0.1897,0.5683,2018-2019,Ligue1
Sampdoria,Roma,1.31991,1.65846,2019-04-06,0.2452,0.4591,2018-2019,SerieA
Barcelona,Atlético Madrid,2.57608,1.02054,2019-04-06,0.7485,0.0905,2018-2019,LaLiga
Alavés,Leganés,0.908638,0.829461,2019-04-07,0.3601,0.2545,2018-2019,LaLiga
Fiorentina,Frosinone,1.33491,0.733348,2019-04-07,0.5198,0.1928,2018-2019,SerieA
Getafe,Athletic Club,1.29044,0.747402,2019-04-07,0.5135,0.1928,2018-2019,LaLiga
Toulouse,Nantes,2.91718,0.749901,2019-04-07,0.8843,0.0337,2018-2019,Ligue1
Reims,Lille,1.25379,0.922252,2019-04-07,0.4462,0.241,2018-2019,Ligue1
Udinese,Empoli,2.21919,1.84227,2019-04-07,0.472,0.277,2018-2019,SerieA
Cagliari,SPAL,2.32045,1.31133,2019-04-07,0.6336,0.1309,2018-2019,SerieA
Everton,Arsenal,2.69396,0.201885,2019-04-07,0.9313,0.0076,2018-2019,EPL
Augsburg,Hoffenheim,0.653608,3.60653,2019-04-07,0.0172,0.9293,2018-2019,Bundesliga
Valladolid,Sevilla,1.33089,2.24314,2019-04-07,0.1433,0.6171,2018-2019,LaLiga
Nice,Montpellier,1.3882,0.585107,2019-04-07,0.5955,0.1353,2018-2019,Ligue1
M'Gladbach,Werder Bremen,1.99752,1.05039,2019-04-07,0.6258,0.1484,2018-2019,Bundesliga
Lazio,Sassuolo,3.36273,1.20864,2019-04-07,0.896,0.0163,2018-2019,SerieA
Inter,Atalanta,0.93775,1.22931,2019-04-07,0.2388,0.4334,2018-2019,SerieA
Celta Vigo,Real Sociedad,3.30598,1.24845,2019-04-07,0.858,0.0414,2018-2019,LaLiga
Levante,Huesca,2.60648,1.76678,2019-04-07,0.5993,0.1865,2018-2019,LaLiga
Napoli,Genoa,1.98975,0.922442,2019-04-07,0.6376,0.144,2018-2019,SerieA
Betis,Villarreal,1.80228,1.88778,2019-04-07,0.3382,0.4109,2018-2019,LaLiga
Paris S-G,Strasbourg,2.68148,0.620221,2019-04-07,0.8438,0.0442,2018-2019,Ligue1
Bologna,Chievo,3.1019,0.672578,2019-04-08,0.9259,0.0131,2018-2019,SerieA
Chelsea,West Ham,2.23287,0.471195,2019-04-08,0.813,0.0513,2018-2019,EPL
Nîmes,Rennes,1.4484,0.816818,2019-04-09,0.5157,0.1956,2018-2019,Ligue1
Dijon,Amiens,1.31762,0.205846,2019-04-12,0.7157,0.0464,2018-2019,Ligue1
Nürnberg,Schalke 04,2.35613,0.850368,2019-04-12,0.7611,0.0809,2018-2019,Bundesliga
Nantes,Lyon,1.07257,1.16906,2019-04-12,0.2985,0.3658,2018-2019,Ligue1
Leicester City,Newcastle Utd,0.877377,0.945804,2019-04-12,0.3063,0.3557,2018-2019,EPL
Espanyol,Alavés,0.624479,1.09624,2019-04-13,0.182,0.4764,2018-2019,LaLiga
Tottenham,Huddersfield,2.78596,0.983527,2019-04-13,0.8091,0.0547,2018-2019,EPL
SPAL,Juventus,0.983596,0.52595,2019-04-13,0.4657,0.1853,2018-2019,SerieA
RB Leipzig,Wolfsburg,2.11199,0.38877,2019-04-13,0.8134,0.0435,2018-2019,Bundesliga
Hannover 96,M'Gladbach,1.36963,1.76261,2019-04-13,0.2782,0.4612,2018-2019,Bundesliga
Werder Bremen,Freiburg,1.81623,0.55263,2019-04-13,0.7141,0.0828,2018-2019,Bundesliga
Stuttgart,Leverkusen,0.444283,2.53521,2019-04-13,0.0279,0.878,2018-2019,Bundesliga
Brighton,Bournemouth,0.206731,2.76885,2019-04-13,0.0061,0.9476,2018-2019,EPL
Burnley,Cardiff City,2.84358,0.872224,2019-04-13,0.8572,0.0352,2018-2019,EPL
Southampton,Wolves,3.80842,0.642825,2019-04-13,0.9621,0.0092,2018-2019,EPL
Fulham,Everton,1.66303,1.29107,2019-04-13,0.454,0.2666,2018-2019,EPL
Huesca,Barcelona,0.21138,0.962057,2019-04-13,0.0682,0.5802,2018-2019,LaLiga
Marseille,Nîmes,1.2573,0.998275,2019-04-13,0.4007,0.2684,2018-2019,Ligue1
Roma,Udinese,1.30438,0.561648,2019-04-13,0.5759,0.1473,2018-2019,SerieA
Manchester Utd,West Ham,2.65125,1.42817,2019-04-13,0.6925,0.1211,2018-2019,EPL
Dortmund,Mainz 05,2.13802,2.93676,2019-04-13,0.1821,0.5877,2018-2019,Bundesliga
Atlético Madrid,Celta Vigo,1.75463,0.617854,2019-04-13,0.7196,0.0732,2018-2019,LaLiga
Monaco,Reims,1.62135,0.568613,2019-04-13,0.6549,0.1055,2018-2019,Ligue1
Caen,Angers,0.515272,1.20442,2019-04-13,0.1363,0.5569,2018-2019,Ligue1
Strasbourg,Guingamp,1.68016,2.27104,2019-04-13,0.2269,0.5225,2018-2019,Ligue1
Milan,Lazio,1.52803,1.41453,2019-04-13,0.3838,0.3229,2018-2019,SerieA
Sevilla,Betis,2.32083,1.09294,2019-04-13,0.7177,0.1034,2018-2019,LaLiga
Valladolid,Getafe,1.39618,1.36776,2019-04-14,0.3347,0.3207,2018-2019,LaLiga
Torino,Cagliari,1.17895,0.866882,2019-04-14,0.4395,0.2408,2018-2019,SerieA
Hoffenheim,Hertha BSC,3.53386,0.305091,2019-04-14,0.9612,0.0066,2018-2019,Bundesliga
Athletic Club,Rayo Vallecano,2.60334,0.73101,2019-04-14,0.8767,0.0218,2018-2019,LaLiga
Montpellier,Toulouse,2.02444,0.214379,2019-04-14,0.8821,0.0144,2018-2019,Ligue1
Sassuolo,Parma,1.25421,0.828516,2019-04-14,0.4364,0.2028,2018-2019,SerieA
Fiorentina,Bologna,0.792762,0.145765,2019-04-14,0.5232,0.0588,2018-2019,SerieA
Rennes,Nice,1.06213,0.482453,2019-04-14,0.5346,0.1448,2018-2019,Ligue1
Sampdoria,Genoa,2.46935,0.737093,2019-04-14,0.8258,0.0484,2018-2019,SerieA
Crystal Palace,Manchester City,0.318169,2.86236,2019-04-14,0.0105,0.9318,2018-2019,EPL
Düsseldorf,Bayern Munich,0.972295,3.34878,2019-04-14,0.0173,0.909,2018-2019,Bundesliga
Real Sociedad,Eibar,0.293383,0.99834,2019-04-14,0.0987,0.544,2018-2019,LaLiga
Saint-Étienne,Bordeaux,2.13067,0.639973,2019-04-14,0.7792,0.0488,2018-2019,Ligue1
Liverpool,Chelsea,1.30839,0.873177,2019-04-14,0.4666,0.2226,2018-2019,EPL
Eint Frankfurt,Augsburg,2.09741,2.22016,2019-04-14,0.3584,0.4096,2018-2019,Bundesliga
Chievo,Napoli,0.172953,1.45817,2019-04-14,0.03,0.7679,2018-2019,SerieA
Girona,Villarreal,0.964694,1.39136,2019-04-14,0.248,0.4679,2018-2019,LaLiga
Frosinone,Inter,0.789702,3.70567,2019-04-14,0.0144,0.936,2018-2019,SerieA
Valencia,Levante,2.86682,0.279883,2019-04-14,0.955,0.0046,2018-2019,LaLiga
Lille,Paris S-G,1.98648,1.27918,2019-04-14,0.5555,0.1985,2018-2019,Ligue1
Atalanta,Empoli,5.06313,0.22043,2019-04-15,0.9951,0.001,2018-2019,SerieA
Watford,Arsenal,1.12595,2.2668,2019-04-15,0.1151,0.677,2018-2019,EPL
Leganés,Real Madrid,0.651235,1.20942,2019-04-15,0.1754,0.4941,2018-2019,LaLiga
Brighton,Cardiff City,0.588539,0.819472,2019-04-16,0.2287,0.3931,2018-2019,EPL
Nantes,Paris S-G,1.98839,0.60586,2019-04-17,0.7525,0.0761,2018-2019,Ligue1
Lazio,Udinese,0.891528,1.28089,2019-04-17,0.2075,0.4852,2018-2019,SerieA
Dijon,Rennes,1.07506,0.868226,2019-04-19,0.3953,0.2883,2018-2019,Ligue1
Lyon,Angers,2.88984,0.447996,2019-04-19,0.9202,0.0164,2018-2019,Ligue1
Alavés,Valladolid,0.698942,1.87763,2019-04-19,0.0899,0.7139,2018-2019,LaLiga
Parma,Milan,0.830287,0.800929,2019-04-20,0.3259,0.3142,2018-2019,SerieA
Celta Vigo,Girona,1.78831,0.331788,2019-04-20,0.7898,0.0446,2018-2019,LaLiga
Manchester City,Tottenham,2.06185,1.19894,2019-04-20,0.5969,0.1685,2018-2019,EPL
Empoli,SPAL,1.44713,1.43346,2019-04-20,0.3452,0.3641,2018-2019,SerieA
Udinese,Sassuolo,0.907616,0.747252,2019-04-20,0.3743,0.2629,2018-2019,SerieA
Lazio,Chievo,1.6363,1.18465,2019-04-20,0.4749,0.263,2018-2019,SerieA
Genoa,Torino,1.1822,0.836087,2019-04-20,0.4406,0.2368,2018-2019,SerieA
Bologna,Sampdoria,0.999562,0.638254,2019-04-20,0.4501,0.209,2018-2019,SerieA
Cagliari,Frosinone,1.648,0.848619,2019-04-20,0.5986,0.1462,2018-2019,SerieA
Augsburg,Stuttgart,2.39187,1.38001,2019-04-20,0.6221,0.1614,2018-2019,Bundesliga
Mainz 05,Düsseldorf,3.24326,2.5269,2019-04-20,0.5456,0.2247,2018-2019,Bundesliga
Leverkusen,Nürnberg,1.51156,0.245739,2019-04-20,0.7205,0.0528,2018-2019,Bundesliga
Bayern Munich,Werder Bremen,2.60771,0.134891,2019-04-20,0.9266,0.0063,2018-2019,Bundesliga
Bournemouth,Fulham,2.83739,2.61689,2019-04-20,0.4288,0.3355,2018-2019,EPL
Huddersfield,Watford,1.09072,1.08462,2019-04-20,0.3513,0.3335,2018-2019,EPL
West Ham,Leicester City,1.36558,0.8065,2019-04-20,0.5116,0.1972,2018-2019,EPL
Wolves,Brighton,2.60447,0.115051,2019-04-20,0.9436,0.0057,2018-2019,EPL
Eibar,Atlético Madrid,0.860003,1.55196,2019-04-20,0.1588,0.5562,2018-2019,LaLiga
Guingamp,Marseille,0.992492,2.38873,2019-04-20,0.088,0.7314,2018-2019,Ligue1
Juventus,Fiorentina,0.900644,1.4449,2019-04-20,0.2028,0.5212,2018-2019,SerieA
