Team_Home,Team_Away,USxg_Home,USxg_Away,Date,USProb_Home,USProb_Away,Season,League
Girona,Málaga,1.66954,0.325871,2017-08-26,0.8007,0.0375,2017-2018,LaLiga
Roma,Inter,1.34009,2.45224,2017-08-26,0.1292,0.671,2017-2018,SerieA
Las Palmas,Atlético Madrid,1.38892,0.510608,2017-08-26,0.6498,0.0949,2017-2018,LaLiga
West Brom,Stoke City,0.875132,0.980905,2017-08-27,0.3079,0.3563,2017-2018,EPL
Chelsea,Everton,1.16991,0.326655,2017-08-27,0.5979,0.0999,2017-2018,EPL
Guingamp,Strasbourg,1.86165,0.566048,2017-08-27,0.752,0.0668,2017-2018,Ligue1
RB Leipzig,Freiburg,2.85363,0.456207,2017-08-27,0.8794,0.0295,2017-2018,Bundesliga
Angers,Lille,0.861506,0.846538,2017-08-27,0.3351,0.3266,2017-2018,Ligue1
Tottenham,Burnley,2.3497,0.670943,2017-08-27,0.7813,0.0672,2017-2018,EPL
Liverpool,Arsenal,3.45998,0.484816,2017-08-27,0.9436,0.0116,2017-2018,EPL
Hannover 96,Schalke 04,0.805466,0.403031,2017-08-27,0.4488,0.1578,2017-2018,Bundesliga
Torino,Sassuolo,1.24379,0.823815,2017-08-27,0.472,0.2295,2017-2018,SerieA
Eibar,Athletic Club,1.1133,1.35304,2017-08-27,0.2744,0.4258,2017-2018,LaLiga
Espanyol,Leganés,1.29777,1.22097,2017-08-27,0.3538,0.3299,2017-2018,LaLiga
Getafe,Sevilla,1.47212,1.21647,2017-08-27,0.409,0.2871,2017-2018,LaLiga
Napoli,Atalanta,1.1536,0.633447,2017-08-27,0.5081,0.1782,2017-2018,SerieA
Fiorentina,Sampdoria,1.86088,2.14547,2017-08-27,0.2877,0.4578,2017-2018,SerieA
Crotone,Hellas Verona,0.74833,0.227079,2017-08-27,0.4547,0.1027,2017-2018,SerieA
Milan,Cagliari,1.42114,0.559323,2017-08-27,0.6317,0.1148,2017-2018,SerieA
Chievo,Lazio,0.772094,1.36642,2017-08-27,0.1773,0.5357,2017-2018,SerieA
SPAL,Udinese,1.63964,1.11091,2017-08-27,0.4983,0.1969,2017-2018,SerieA
Monaco,Marseille,4.53179,1.41561,2017-08-27,0.9446,0.0129,2017-2018,Ligue1
Real Madrid,Valencia,3.38691,0.90594,2017-08-27,0.8935,0.0282,2017-2018,LaLiga
Lille,Bordeaux,0.352346,0.936419,2017-09-08,0.1291,0.5083,2017-2018,Ligue1
Hamburger SV,RB Leipzig,1.17417,1.37657,2017-09-08,0.3055,0.397,2017-2018,Bundesliga
Metz,Paris S-G,1.20793,4.87729,2017-09-08,0.0069,0.9672,2017-2018,Ligue1
Leganés,Getafe,1.55919,0.392931,2017-09-08,0.7598,0.055,2017-2018,LaLiga
Real Madrid,Levante,3.18354,0.757405,2017-09-09,0.9394,0.0073,2017-2018,LaLiga
Manchester City,Liverpool,3.14589,0.665186,2017-09-09,0.9056,0.0228,2017-2018,EPL
Wolfsburg,Hannover 96,1.13451,0.480156,2017-09-09,0.5436,0.141,2017-2018,Bundesliga
Freiburg,Dortmund,0.490076,1.56801,2017-09-09,0.1008,0.6471,2017-2018,Bundesliga
M'Gladbach,Eint Frankfurt,0.632041,0.614198,2017-09-09,0.3047,0.2825,2017-2018,Bundesliga
Augsburg,Köln,2.27655,0.458374,2017-09-09,0.8621,0.0319,2017-2018,Bundesliga
Mainz 05,Leverkusen,1.33781,0.964768,2017-09-09,0.4795,0.237,2017-2018,Bundesliga
Everton,Tottenham,1.15144,2.17535,2017-09-09,0.1568,0.6322,2017-2018,EPL
Brighton,West Brom,0.396771,0.866679,2017-09-09,0.1484,0.4756,2017-2018,EPL
Leicester City,Chelsea,1.34903,1.03943,2017-09-09,0.467,0.2418,2017-2018,EPL
Arsenal,Bournemouth,2.48732,0.577291,2017-09-09,0.8309,0.0464,2017-2018,EPL
Southampton,Watford,0.331259,0.57794,2017-09-09,0.1722,0.3514,2017-2018,EPL
Valencia,Atlético Madrid,0.702521,0.638366,2017-09-09,0.3289,0.2846,2017-2018,LaLiga
Nice,Monaco,2.94979,0.881798,2017-09-09,0.8732,0.0307,2017-2018,Ligue1
Juventus,Chievo,1.25158,0.910665,2017-09-09,0.4352,0.2522,2017-2018,SerieA
Hoffenheim,Bayern Munich,0.612108,1.51192,2017-09-09,0.1341,0.6012,2017-2018,Bundesliga
Stoke City,Manchester Utd,1.49928,1.96635,2017-09-09,0.2647,0.4836,2017-2018,EPL
Sevilla,Eibar,2.84122,0.690659,2017-09-09,0.8859,0.0179,2017-2018,LaLiga
Montpellier,Nantes,0.411604,0.591683,2017-09-09,0.2098,0.3309,2017-2018,Ligue1
Troyes,Toulouse,0.737279,0.204017,2017-09-09,0.4835,0.0906,2017-2018,Ligue1
Caen,Dijon,1.67506,0.51478,2017-09-09,0.7269,0.0652,2017-2018,Ligue1
Strasbourg,Amiens,0.599748,0.293267,2017-09-09,0.3864,0.1443,2017-2018,Ligue1
Barcelona,Espanyol,5.54505,0.752988,2017-09-09,0.9904,0.0016,2017-2018,LaLiga
La Coruña,Real Sociedad,1.1079,2.02187,2017-09-10,0.1548,0.6195,2017-2018,LaLiga
Inter,SPAL,2.08048,0.375089,2017-09-10,0.8359,0.0323,2017-2018,SerieA
Burnley,Crystal Palace,0.429329,1.72996,2017-09-10,0.0627,0.7382,2017-2018,EPL
Saint-Étienne,Angers,0.68122,2.04494,2017-09-10,0.0682,0.7462,2017-2018,Ligue1
Hellas Verona,Fiorentina,0.953786,2.89134,2017-09-10,0.0537,0.8268,2017-2018,SerieA
Cagliari,Crotone,1.22886,0.316314,2017-09-10,0.6311,0.0854,2017-2018,SerieA
Atalanta,Sassuolo,0.614603,1.28796,2017-09-10,0.1631,0.5448,2017-2018,SerieA
Udinese,Genoa,1.48614,0.52818,2017-09-10,0.6586,0.1034,2017-2018,SerieA
Hertha BSC,Werder Bremen,0.250761,0.569654,2017-09-10,0.1351,0.3662,2017-2018,Bundesliga
Lazio,Milan,2.35955,1.20558,2017-09-10,0.6776,0.1259,2017-2018,SerieA
Athletic Club,Girona,1.72422,0.314128,2017-09-10,0.8128,0.0333,2017-2018,LaLiga
Swansea City,Newcastle Utd,1.48574,1.03177,2017-09-10,0.492,0.2213,2017-2018,EPL
Lyon,Guingamp,0.762372,0.834402,2017-09-10,0.3,0.3428,2017-2018,Ligue1
Schalke 04,Stuttgart,1.98675,1.30096,2017-09-10,0.5502,0.2039,2017-2018,Bundesliga
Benevento,Torino,1.20053,0.999531,2017-09-10,0.4056,0.2884,2017-2018,SerieA
Celta Vigo,Alavés,2.63491,0.491165,2017-09-10,0.8999,0.0206,2017-2018,LaLiga
Bologna,Napoli,0.242533,1.64648,2017-09-10,0.0393,0.7876,2017-2018,SerieA
Villarreal,Betis,1.59207,0.816093,2017-09-10,0.5646,0.1688,2017-2018,LaLiga
Marseille,Rennes,1.72708,2.1507,2017-09-10,0.2733,0.4725,2017-2018,Ligue1
West Ham,Huddersfield,1.94969,0.339338,2017-09-11,0.8657,0.0193,2017-2018,EPL
Málaga,Las Palmas,0.904978,1.89906,2017-09-11,0.1375,0.6309,2017-2018,LaLiga
Hannover 96,Hamburger SV,2.2982,0.453334,2017-09-15,0.8903,0.0203,2017-2018,Bundesliga
Toulouse,Bordeaux,0.909141,0.733308,2017-09-15,0.373,0.2701,2017-2018,Ligue1
Bournemouth,Brighton,1.39529,0.874276,2017-09-15,0.4979,0.1974,2017-2018,EPL
Eibar,Leganés,0.383513,0.236029,2017-09-16,0.2645,0.1546,2017-2018,LaLiga
Levante,Valencia,0.939192,1.8854,2017-09-16,0.1243,0.6306,2017-2018,LaLiga
Crystal Palace,Southampton,2.03243,1.11428,2017-09-16,0.6079,0.1609,2017-2018,EPL
Crotone,Inter,1.01223,0.736631,2017-09-16,0.3991,0.2397,2017-2018,SerieA
Stuttgart,Wolfsburg,1.13249,0.453375,2017-09-16,0.5657,0.125,2017-2018,Bundesliga
Bayern Munich,Mainz 05,4.4171,0.711282,2017-09-16,0.9641,0.0076,2017-2018,Bundesliga
Eint Frankfurt,Augsburg,1.32498,0.72838,2017-09-16,0.5188,0.1958,2017-2018,Bundesliga
Werder Bremen,Schalke 04,0.982258,0.930766,2017-09-16,0.3404,0.3272,2017-2018,Bundesliga
Huddersfield,Leicester City,0.700349,1.24181,2017-09-16,0.1671,0.5335,2017-2018,EPL
Liverpool,Burnley,2.18727,0.334402,2017-09-16,0.8663,0.0238,2017-2018,EPL
Newcastle Utd,Stoke City,2.6598,0.675783,2017-09-16,0.8488,0.0403,2017-2018,EPL
Watford,Manchester City,0.803933,3.99349,2017-09-16,0.0076,0.9607,2017-2018,EPL
West Brom,West Ham,0.781891,0.266344,2017-09-16,0.4784,0.1089,2017-2018,EPL
Getafe,Barcelona,0.956195,0.53587,2017-09-16,0.4634,0.1771,2017-2018,LaLiga
Monaco,Strasbourg,2.74933,1.25366,2017-09-16,0.7723,0.0654,2017-2018,Ligue1
Fiorentina,Bologna,0.580446,0.305501,2017-09-16,0.3525,0.1615,2017-2018,SerieA
RB Leipzig,M'Gladbach,0.736279,1.45024,2017-09-16,0.143,0.5848,2017-2018,Bundesliga
Tottenham,Swansea City,1.17894,0.154074,2017-09-16,0.6472,0.0465,2017-2018,EPL
Betis,La Coruña,2.73624,0.377717,2017-09-16,0.9391,0.0066,2017-2018,LaLiga
Nantes,Caen,0.464665,0.277685,2017-09-16,0.3094,0.1592,2017-2018,Ligue1
Troyes,Montpellier,0.64374,1.20725,2017-09-16,0.1528,0.527,2017-2018,Ligue1
Dijon,Saint-Étienne,1.84763,1.73247,2017-09-16,0.3836,0.3543,2017-2018,Ligue1
Guingamp,Lille,1.49258,0.376469,2017-09-16,0.6894,0.0775,2017-2018,Ligue1
Roma,Hellas Verona,3.67224,0.197492,2017-09-16,0.9752,0.0034,2017-2018,SerieA
Atlético Madrid,Málaga,1.54645,0.438352,2017-09-16,0.6973,0.0767,2017-2018,LaLiga
Alavés,Villarreal,0.487809,2.14034,2017-09-17,0.0335,0.8422,2017-2018,LaLiga
Sassuolo,Juventus,1.87483,1.07552,2017-09-17,0.6165,0.1526,2017-2018,SerieA
Hoffenheim,Hertha BSC,0.576053,0.455083,2017-09-17,0.3168,0.2232,2017-2018,Bundesliga
Chelsea,Arsenal,0.762129,1.42208,2017-09-17,0.1543,0.5712,2017-2018,EPL
Napoli,Benevento,5.46073,0.211585,2017-09-17,0.9982,0.0,2017-2018,SerieA
Milan,Udinese,2.77644,0.221787,2017-09-17,0.9466,0.0061,2017-2018,SerieA
Torino,Sampdoria,1.32766,0.910733,2017-09-17,0.4686,0.2193,2017-2018,SerieA
SPAL,Cagliari,0.551736,1.09462,2017-09-17,0.1718,0.5008,2017-2018,SerieA
Amiens,Marseille,0.712071,1.44127,2017-09-17,0.1539,0.5523,2017-2018,Ligue1
Leverkusen,Freiburg,2.25411,0.429073,2017-09-17,0.853,0.0253,2017-2018,Bundesliga
Girona,Sevilla,1.90439,1.35514,2017-09-17,0.5196,0.222,2017-2018,LaLiga
Manchester Utd,Everton,3.28722,1.06298,2017-09-17,0.8638,0.0391,2017-2018,EPL
Rennes,Nice,0.88774,0.590921,2017-09-17,0.3969,0.229,2017-2018,Ligue1
Angers,Metz,1.99822,1.60019,2017-09-17,0.4752,0.2671,2017-2018,Ligue1
Dortmund,Köln,3.85155,0.461837,2017-09-17,0.9682,0.0056,2017-2018,Bundesliga
Chievo,Atalanta,1.23045,1.61081,2017-09-17,0.2455,0.4644,2017-2018,SerieA
Las Palmas,Athletic Club,0.895334,1.10686,2017-09-17,0.2749,0.4159,2017-2018,LaLiga
Real Sociedad,Real Madrid,0.375385,2.88229,2017-09-17,0.0154,0.9186,2017-2018,LaLiga
Genoa,Lazio,0.548626,3.11315,2017-09-17,0.0095,0.9405,2017-2018,SerieA
Paris S-G,Lyon,1.77327,0.928593,2017-09-17,0.6131,0.1414,2017-2018,Ligue1
Espanyol,Celta Vigo,0.707575,0.857512,2017-09-18,0.2698,0.3686,2017-2018,LaLiga
M'Gladbach,Stuttgart,1.14939,0.49742,2017-09-19,0.5835,0.1169,2017-2018,Bundesliga
