League,Season,Wk,Day,Date,Time,HomeTeam,xG_Home,xG_Away,AwayTeam,Attendance,Venue,Referee,Match Report,HomeScore,AwayScore
SerieA,2017-2018,4,Sun,2017-09-17,18:00,Chievo,1.1,1.7,Atalanta,10000,Stadio Marc'Antonio Bentegodi,Maurizio Mariani,https://fbref.com/en/matches/9150c653/Chievo-Atalanta-September-17-2017-Serie-A,1,1
SerieA,2017-2018,4,Sun,2017-09-17,20:45,Genoa,0.3,3.4,Lazio,19065,Stadio Comunale Luigi Ferraris,Daniele Orsato,https://fbref.com/en/matches/249894c0/Genoa-Lazio-September-17-2017-Serie-A,2,3
SerieA,2017-2018,5,Tue,2017-09-19,20:45,Bologna,0.7,1.5,Inter,26067,Stadio Renato Dall'Ara,Marco Di Bello,https://fbref.com/en/matches/211de580/Bologna-Internazionale-September-19-2017-Serie-A,1,1
SerieA,2017-2018,5,Wed,2017-09-20,18:00,Benevento,1.0,2.1,Roma,14839,Stadio Ciro Vigorito,Michael Fabbri,https://fbref.com/en/matches/7774872f/Benevento-Roma-September-20-2017-Serie-A,0,4
SerieA,2017-2018,5,Wed,2017-09-20,20:45,Lazio,0.2,2.5,Napoli,28000,Stadio Olimpico,Antonio Damato,https://fbref.com/en/matches/6e58c3a7/Lazio-Napoli-September-20-2017-Serie-A,1,4
SerieA,2017-2018,5,Wed,2017-09-20,20:45,Udinese,2.2,1.4,Torino,14793,Dacia Arena,Gianluca Rocchi,https://fbref.com/en/matches/5fd718e6/Udinese-Torino-September-20-2017-Serie-A,2,3
SerieA,2017-2018,5,Wed,2017-09-20,20:45,Milan,2.2,0.1,SPAL,45343,Stadio Giuseppe Meazza,Rosario Abisso,https://fbref.com/en/matches/a5a2e924/Milan-SPAL-September-20-2017-Serie-A,2,0
SerieA,2017-2018,5,Wed,2017-09-20,20:45,Atalanta,3.2,0.5,Crotone,16378,Stadio Atleti Azzurri d'Italia,Marco Piccinini,https://fbref.com/en/matches/ba1981a2/Atalanta-Crotone-September-20-2017-Serie-A,5,1
SerieA,2017-2018,5,Wed,2017-09-20,20:45,Juventus,1.0,0.4,Fiorentina,35652,Allianz Stadium,Daniele Doveri,https://fbref.com/en/matches/df63c31b/Juventus-Fiorentina-September-20-2017-Serie-A,1,0
SerieA,2017-2018,5,Wed,2017-09-20,20:45,Hellas Verona,0.5,1.2,Sampdoria,14690,Stadio Marc'Antonio Bentegodi,Gianluca Manganiello,https://fbref.com/en/matches/32953cae/Hellas-Verona-Sampdoria-September-20-2017-Serie-A,0,0
SerieA,2017-2018,5,Wed,2017-09-20,20:45,Cagliari,1.7,2.4,Sassuolo,13898,Stadio Sant'Elia,Claudio Gavillucci,https://fbref.com/en/matches/e03443c5/Cagliari-Sassuolo-September-20-2017-Serie-A,0,1
SerieA,2017-2018,5,Wed,2017-09-20,20:45,Genoa,0.8,1.1,Chievo,18376,Stadio Comunale Luigi Ferraris,Paolo Mazzoleni,https://fbref.com/en/matches/ff8c255e/Genoa-Chievo-September-20-2017-Serie-A,1,1
SerieA,2017-2018,6,Sat,2017-09-23,15:00,Roma,3.5,1.2,Udinese,32457,Stadio Olimpico,Davide Massa,https://fbref.com/en/matches/9eb2cc14/Roma-Udinese-September-23-2017-Serie-A,3,1
SerieA,2017-2018,6,Sat,2017-09-23,18:00,SPAL,0.2,1.7,Napoli,12650,Stadio Paolo Mazza,Maurizio Mariani,https://fbref.com/en/matches/4e8318b9/SPAL-Napoli-September-23-2017-Serie-A,2,3
SerieA,2017-2018,6,Sat,2017-09-23,20:45,Juventus,2.6,0.3,Torino,40856,Allianz Stadium,Piero Giacomelli,https://fbref.com/en/matches/f24d21f2/Juventus-Torino-September-23-2017-Serie-A,4,0
SerieA,2017-2018,6,Sun,2017-09-24,12:30,Sampdoria,1.3,0.5,Milan,21896,Stadio Comunale Luigi Ferraris,Paolo Valeri,https://fbref.com/en/matches/b5bb505a/Sampdoria-Milan-September-24-2017-Serie-A,2,0
SerieA,2017-2018,6,Sun,2017-09-24,15:00,Hellas Verona,0.5,1.9,Lazio,16316,Stadio Marc'Antonio Bentegodi,Massimiliano Irrati,https://fbref.com/en/matches/89a6b7bd/Hellas-Verona-Lazio-September-24-2017-Serie-A,0,3
SerieA,2017-2018,6,Sun,2017-09-24,15:00,Crotone,1.4,2.0,Benevento,8827,Stadio Ezio Scida,Daniele Orsato,https://fbref.com/en/matches/438e40d7/Crotone-Benevento-September-24-2017-Serie-A,2,0
SerieA,2017-2018,6,Sun,2017-09-24,15:00,Cagliari,1.3,1.2,Chievo,14287,Stadio Sant'Elia,Gianluca Aureliano,https://fbref.com/en/matches/1ab3a943/Cagliari-Chievo-September-24-2017-Serie-A,0,2
SerieA,2017-2018,6,Sun,2017-09-24,15:00,Inter,0.8,0.6,Genoa,50037,Stadio Giuseppe Meazza,Marco Guida,https://fbref.com/en/matches/94b341b0/Internazionale-Genoa-September-24-2017-Serie-A,1,0
SerieA,2017-2018,6,Sun,2017-09-24,18:00,Sassuolo,0.6,2.1,Bologna,10805,Stadio Città del Tricolore,Paolo Tagliavento,https://fbref.com/en/matches/dad2b40f/Sassuolo-Bologna-September-24-2017-Serie-A,0,1
SerieA,2017-2018,6,Sun,2017-09-24,20:45,Fiorentina,0.4,2.6,Atalanta,21390,Stadio Artemio Franchi,Luca Pairetto,https://fbref.com/en/matches/f8779b70/Fiorentina-Atalanta-September-24-2017-Serie-A,1,1
SerieA,2017-2018,7,Sat,2017-09-30,18:00,Udinese,4.0,0.6,Sampdoria,17935,Dacia Arena,Michael Fabbri,https://fbref.com/en/matches/ef0e0790/Udinese-Sampdoria-September-30-2017-Serie-A,4,0
SerieA,2017-2018,7,Sat,2017-09-30,20:45,Genoa,1.5,0.9,Bologna,19154,Stadio Comunale Luigi Ferraris,Gianluca Rocchi,https://fbref.com/en/matches/88054415/Genoa-Bologna-September-30-2017-Serie-A,0,1
SerieA,2017-2018,7,Sun,2017-10-01,12:30,Napoli,3.1,0.3,Cagliari,42813,Stadio San Paolo,Rosario Abisso,https://fbref.com/en/matches/fc468ca5/Napoli-Cagliari-October-1-2017-Serie-A,3,0
SerieA,2017-2018,7,Sun,2017-10-01,15:00,Benevento,1.0,1.9,Inter,16274,Stadio Ciro Vigorito,Daniele Doveri,https://fbref.com/en/matches/6db9b5d3/Benevento-Internazionale-October-1-2017-Serie-A,1,2
SerieA,2017-2018,7,Sun,2017-10-01,15:00,Torino,1.7,3.2,Hellas Verona,16834,Stadio Olimpico di Torino,Claudio Gavillucci,https://fbref.com/en/matches/f9e968e2/Torino-Hellas-Verona-October-1-2017-Serie-A,2,2
SerieA,2017-2018,7,Sun,2017-10-01,15:00,Chievo,1.1,1.8,Fiorentina,7300,Stadio Marc'Antonio Bentegodi,Piero Giacomelli,https://fbref.com/en/matches/28f8f44f/Chievo-Fiorentina-October-1-2017-Serie-A,2,1
SerieA,2017-2018,7,Sun,2017-10-01,15:00,SPAL,2.7,0.6,Crotone,11187,Stadio Paolo Mazza,Paolo Mazzoleni,https://fbref.com/en/matches/a45e8908/SPAL-Crotone-October-1-2017-Serie-A,1,1
SerieA,2017-2018,7,Sun,2017-10-01,15:00,Lazio,3.3,1.5,Sassuolo,25000,Stadio Olimpico,Fabio Maresca,https://fbref.com/en/matches/fd9a4f48/Lazio-Sassuolo-October-1-2017-Serie-A,6,1
SerieA,2017-2018,7,Sun,2017-10-01,18:00,Milan,1.2,1.4,Roma,61698,Stadio Giuseppe Meazza,Luca Banti,https://fbref.com/en/matches/692856c8/Milan-Roma-October-1-2017-Serie-A,0,2
SerieA,2017-2018,7,Sun,2017-10-01,20:45,Atalanta,1.2,2.5,Juventus,19962,Stadio Atleti Azzurri d'Italia,Antonio Damato,https://fbref.com/en/matches/c885b0f4/Atalanta-Juventus-October-1-2017-Serie-A,2,2
SerieA,2017-2018,8,Sat,2017-10-14,18:00,Juventus,2.8,1.7,Lazio,39145,Allianz Stadium,Paolo Mazzoleni,https://fbref.com/en/matches/dd093c44/Juventus-Lazio-October-14-2017-Serie-A,1,2
SerieA,2017-2018,8,Sat,2017-10-14,20:45,Roma,0.4,1.3,Napoli,37914,Stadio Olimpico,Gianluca Rocchi,https://fbref.com/en/matches/df86dcae/Roma-Napoli-October-14-2017-Serie-A,0,1
SerieA,2017-2018,8,Sun,2017-10-15,12:30,Fiorentina,2.0,0.5,Udinese,25156,Stadio Artemio Franchi,Massimiliano Irrati,https://fbref.com/en/matches/bafe756c/Fiorentina-Udinese-October-15-2017-Serie-A,2,1
SerieA,2017-2018,8,Sun,2017-10-15,15:00,Sampdoria,1.3,2.8,Atalanta,19672,Stadio Comunale Luigi Ferraris,Maurizio Mariani,https://fbref.com/en/matches/8d16374b/Sampdoria-Atalanta-October-15-2017-Serie-A,3,1
SerieA,2017-2018,8,Sun,2017-10-15,15:00,Bologna,1.6,0.8,SPAL,24074,Stadio Renato Dall'Ara,Marco Guida,https://fbref.com/en/matches/bd5ca501/Bologna-SPAL-October-15-2017-Serie-A,2,1
SerieA,2017-2018,8,Sun,2017-10-15,15:00,Cagliari,1.3,2.0,Genoa,13981,Stadio Sant'Elia,Davide Massa,https://fbref.com/en/matches/a6d1d542/Cagliari-Genoa-October-15-2017-Serie-A,2,3
SerieA,2017-2018,8,Sun,2017-10-15,15:00,Crotone,0.7,1.6,Torino,9563,Stadio Ezio Scida,Paolo Valeri,https://fbref.com/en/matches/c7430da6/Crotone-Torino-October-15-2017-Serie-A,2,2
SerieA,2017-2018,8,Sun,2017-10-15,15:00,Sassuolo,2.0,0.4,Chievo,8712,Stadio Città del Tricolore,Gianluca Manganiello,https://fbref.com/en/matches/449149db/Sassuolo-Chievo-October-15-2017-Serie-A,0,0
SerieA,2017-2018,8,Sun,2017-10-15,20:45,Inter,1.8,1.1,Milan,78328,Stadio Giuseppe Meazza,Paolo Tagliavento,https://fbref.com/en/matches/34f104ea/Derby-della-Madonnina-Internazionale-Milan-October-15-2017-Serie-A,3,2
SerieA,2017-2018,8,Mon,2017-10-16,20:45,Hellas Verona,1.5,0.3,Benevento,16282,Stadio Marc'Antonio Bentegodi,Marco Di Bello,https://fbref.com/en/matches/e4b8d974/Hellas-Verona-Benevento-October-16-2017-Serie-A,1,0
SerieA,2017-2018,9,Sat,2017-10-21,18:00,Sampdoria,2.5,0.4,Crotone,18220,Stadio Comunale Luigi Ferraris,Giampaolo Calvarese,https://fbref.com/en/matches/afd668b5/Sampdoria-Crotone-October-21-2017-Serie-A,5,0
SerieA,2017-2018,9,Sat,2017-10-21,20:45,Napoli,0.9,0.3,Inter,49762,Stadio San Paolo,Luca Banti,https://fbref.com/en/matches/acd3d97c/Napoli-Internazionale-October-21-2017-Serie-A,0,0
SerieA,2017-2018,9,Sun,2017-10-22,12:30,Chievo,2.9,1.3,Hellas Verona,15000,Stadio Marc'Antonio Bentegodi,Rosario Abisso,https://fbref.com/en/matches/c998bd59/Chievo-Hellas-Verona-October-22-2017-Serie-A,3,2
SerieA,2017-2018,9,Sun,2017-10-22,15:00,Atalanta,2.3,0.2,Bologna,18205,Stadio Atleti Azzurri d'Italia,Fabio Maresca,https://fbref.com/en/matches/834cdf8b/Atalanta-Bologna-October-22-2017-Serie-A,1,0
SerieA,2017-2018,9,Sun,2017-10-22,15:00,Torino,0.4,1.2,Roma,19646,Stadio Olimpico di Torino,Antonio Damato,https://fbref.com/en/matches/5c632354/Torino-Roma-October-22-2017-Serie-A,0,1
SerieA,2017-2018,9,Sun,2017-10-22,15:00,SPAL,1.0,2.8,Sassuolo,10338,Stadio Paolo Mazza,Michael Fabbri,https://fbref.com/en/matches/da4eabf1/SPAL-Sassuolo-October-22-2017-Serie-A,0,1
SerieA,2017-2018,9,Sun,2017-10-22,15:00,Milan,0.8,0.5,Genoa,47219,Stadio Giuseppe Meazza,Piero Giacomelli,https://fbref.com/en/matches/e831ba9b/Milan-Genoa-October-22-2017-Serie-A,0,0
SerieA,2017-2018,9,Sun,2017-10-22,15:00,Benevento,0.2,2.6,Fiorentina,10887,Stadio Ciro Vigorito,Claudio Gavillucci,https://fbref.com/en/matches/541986bc/Benevento-Fiorentina-October-22-2017-Serie-A,0,3
SerieA,2017-2018,9,Sun,2017-10-22,18:00,Udinese,0.8,1.2,Juventus,21992,Dacia Arena,Daniele Doveri,https://fbref.com/en/matches/61cc5f6e/Udinese-Juventus-October-22-2017-Serie-A,2,6
SerieA,2017-2018,9,Sun,2017-10-22,20:45,Lazio,2.1,0.8,Cagliari,20000,Stadio Olimpico,Luca Pairetto,https://fbref.com/en/matches/2024d030/Lazio-Cagliari-October-22-2017-Serie-A,3,0
SerieA,2017-2018,10,Tue,2017-10-24,20:45,Inter,2.8,0.7,Sampdoria,54451,Stadio Giuseppe Meazza,Marco Guida,https://fbref.com/en/matches/3688ffd0/Internazionale-Sampdoria-October-24-2017-Serie-A,3,2
SerieA,2017-2018,10,Wed,2017-10-25,18:30,Atalanta,2.5,1.7,Hellas Verona,16768,Stadio Atleti Azzurri d'Italia,Livio Marinelli,https://fbref.com/en/matches/5f0d90f2/Atalanta-Hellas-Verona-October-25-2017-Serie-A,3,0
SerieA,2017-2018,10,Wed,2017-10-25,20:45,Genoa,1.2,1.3,Napoli,23367,Stadio Comunale Luigi Ferraris,Paolo Mazzoleni,https://fbref.com/en/matches/fe54162d/Genoa-Napoli-October-25-2017-Serie-A,2,3
SerieA,2017-2018,10,Wed,2017-10-25,20:45,Roma,2.7,0.4,Crotone,31605,Stadio Olimpico,Gianluca Manganiello,https://fbref.com/en/matches/85451a06/Roma-Crotone-October-25-2017-Serie-A,1,0
SerieA,2017-2018,10,Wed,2017-10-25,20:45,Cagliari,1.8,1.5,Benevento,13630,Stadio Sant'Elia,Massimiliano Irrati,https://fbref.com/en/matches/010d22ec/Cagliari-Benevento-October-25-2017-Serie-A,2,1
SerieA,2017-2018,10,Wed,2017-10-25,20:45,Juventus,1.3,1.1,SPAL,38539,Allianz Stadium,Fabrizio Pasqua,https://fbref.com/en/matches/6cea36f8/Juventus-SPAL-October-25-2017-Serie-A,4,1
SerieA,2017-2018,10,Wed,2017-10-25,20:45,Chievo,0.9,1.8,Milan,7300,Stadio Marc'Antonio Bentegodi,Marco Di Bello,https://fbref.com/en/matches/1efd4d56/Chievo-Milan-October-25-2017-Serie-A,1,4
SerieA,2017-2018,10,Wed,2017-10-25,20:45,Fiorentina,2.0,0.9,Torino,22459,Stadio Artemio Franchi,Maurizio Mariani,https://fbref.com/en/matches/afa0906d/Fiorentina-Torino-October-25-2017-Serie-A,3,0
SerieA,2017-2018,10,Wed,2017-10-25,20:45,Bologna,0.6,3.0,Lazio,20070,Stadio Renato Dall'Ara,Davide Massa,https://fbref.com/en/matches/d3e1848e/Bologna-Lazio-October-25-2017-Serie-A,1,2
SerieA,2017-2018,10,Wed,2017-10-25,20:45,Sassuolo,0.6,0.8,Udinese,7563,Stadio Città del Tricolore,Paolo Tagliavento,https://fbref.com/en/matches/97d5ad7d/Sassuolo-Udinese-October-25-2017-Serie-A,0,1
SerieA,2017-2018,11,Sat,2017-10-28,18:00,Milan,1.4,0.8,Juventus,78328,Stadio Giuseppe Meazza,Paolo Valeri,https://fbref.com/en/matches/5f8795ec/Derby-dItalia-Milan-Juventus-October-28-2017-Serie-A,0,2
SerieA,2017-2018,11,Sat,2017-10-28,20:45,Roma,1.5,0.7,Bologna,35202,Stadio Olimpico,Michael Fabbri,https://fbref.com/en/matches/72a0657a/Roma-Bologna-October-28-2017-Serie-A,1,0
SerieA,2017-2018,11,Sun,2017-10-29,12:30,Benevento,1.0,3.1,Lazio,12413,Stadio Ciro Vigorito,Piero Giacomelli,https://fbref.com/en/matches/aeab5ea3/Benevento-Lazio-October-29-2017-Serie-A,1,5
SerieA,2017-2018,11,Sun,2017-10-29,15:00,Sampdoria,1.5,1.3,Chievo,17972,Stadio Comunale Luigi Ferraris,Daniele Doveri,https://fbref.com/en/matches/49870c5a/Sampdoria-Chievo-October-29-2017-Serie-A,4,1
SerieA,2017-2018,11,Sun,2017-10-29,15:00,Napoli,2.6,0.9,Sassuolo,53609,Stadio San Paolo,Luca Pairetto,https://fbref.com/en/matches/21761559/Napoli-Sassuolo-October-29-2017-Serie-A,3,1
SerieA,2017-2018,11,Sun,2017-10-29,15:00,Crotone,1.3,1.0,Fiorentina,8906,Stadio Ezio Scida,Fabio Maresca,https://fbref.com/en/matches/84afc3cc/Crotone-Fiorentina-October-29-2017-Serie-A,2,1
SerieA,2017-2018,11,Sun,2017-10-29,15:00,SPAL,0.4,1.2,Genoa,12100,Stadio Paolo Mazza,Daniele Orsato,https://fbref.com/en/matches/137886ce/SPAL-Genoa-October-29-2017-Serie-A,1,0
SerieA,2017-2018,11,Sun,2017-10-29,15:00,Udinese,1.3,1.1,Atalanta,9038,Dacia Arena,Gianluca Rocchi,https://fbref.com/en/matches/3a0440a6/Udinese-Atalanta-October-29-2017-Serie-A,2,1
SerieA,2017-2018,11,Sun,2017-10-29,20:45,Torino,3.0,0.5,Cagliari,18309,Stadio Olimpico di Torino,Giampaolo Calvarese,https://fbref.com/en/matches/dfbb298b/Torino-Cagliari-October-29-2017-Serie-A,2,1
SerieA,2017-2018,11,Mon,2017-10-30,20:45,Hellas Verona,1.1,1.3,Inter,26948,Stadio Marc'Antonio Bentegodi,Claudio Gavillucci,https://fbref.com/en/matches/68bd6b1f/Hellas-Verona-Internazionale-October-30-2017-Serie-A,1,2
SerieA,2017-2018,12,Sat,2017-11-04,18:00,Bologna,1.3,1.9,Crotone,33766,Stadio Renato Dall'Ara,Fabrizio Pasqua,https://fbref.com/en/matches/78db3ca6/Bologna-Crotone-November-4-2017-Serie-A,2,3
SerieA,2017-2018,12,Sat,2017-11-04,20:45,Genoa,0.9,2.0,Sampdoria,32288,Stadio Comunale Luigi Ferraris,Massimiliano Irrati,https://fbref.com/en/matches/38cd69cd/Genoa-Sampdoria-November-4-2017-Serie-A,0,2
