League,Season,Round,Wk,Day,Date,Time,HomeTeam,xG_Home,xG_Away,AwayTeam,Attendance,Venue,Referee,Match Report,HomeScore,AwayScore
Ligue1,2018-2019,Regular Season,8,Sat,2018-09-29,20:00,Reims,0.5,0.2,Bordeaux,13406,Stade Auguste-Delaune II,Hakim Ben El Hadj Salem,https://fbref.com/en/matches/2e5c27d7/Reims-Bordeaux-September-29-2018-Ligue-1,0,0
Ligue1,2018-2019,Regular Season,8,Sat,2018-09-29,20:00,Angers,0.7,1.3,Guingamp,9483,Stade Raymond Kopa,Nicolas Rainville,https://fbref.com/en/matches/11f6d0e1/Angers-Guingamp-September-29-2018-Ligue-1,0,1
Ligue1,2018-2019,Regular Season,8,Sun,2018-09-30,15:00,Rennes,2.4,0.5,Toulouse,21173,Roazhon Park,Thomas Léonard,https://fbref.com/en/matches/75c3c900/Rennes-Toulouse-September-30-2018-Ligue-1,1,1
Ligue1,2018-2019,Regular Season,8,Sun,2018-09-30,17:00,Montpellier,2.7,0.9,Nîmes,20054,Stade de la Mosson,Ruddy Buquet,https://fbref.com/en/matches/9313ceaf/Montpellier-Nimes-September-30-2018-Ligue-1,3,0
Ligue1,2018-2019,Regular Season,8,Sun,2018-09-30,21:00,Lille,2.9,0.6,Marseille,41623,Stade Pierre-Mauroy,Mikael Lesage,https://fbref.com/en/matches/92e492f5/Lille-Marseille-September-30-2018-Ligue-1,3,0
Ligue1,2018-2019,Regular Season,9,Fri,2018-10-05,20:45,Toulouse,1.2,1.2,Nice,14162,Stadium Municipal,Willy Delajod,https://fbref.com/en/matches/922fdf88/Toulouse-Nice-October-5-2018-Ligue-1,1,1
Ligue1,2018-2019,Regular Season,9,Sat,2018-10-06,17:00,Lille,0.6,1.7,Saint-Étienne,31263,Stade Pierre-Mauroy,Jérôme Miguelgorry,https://fbref.com/en/matches/e20cccf3/Lille-Saint-Etienne-October-6-2018-Ligue-1,3,1
Ligue1,2018-2019,Regular Season,9,Sat,2018-10-06,20:00,Nîmes,1.2,1.4,Reims,12958,Stade des Costières,Karim Abed,https://fbref.com/en/matches/051fafa7/Nimes-Reims-October-6-2018-Ligue-1,0,0
Ligue1,2018-2019,Regular Season,9,Sat,2018-10-06,20:00,Guingamp,0.9,1.0,Montpellier,13643,Stade du Roudourou,Jeremy Stinat,https://fbref.com/en/matches/7355eddb/Guingamp-Montpellier-October-6-2018-Ligue-1,1,1
Ligue1,2018-2019,Regular Season,9,Sat,2018-10-06,20:00,Angers,2.3,1.2,Strasbourg,8930,Stade Raymond Kopa,Johan Hamel,https://fbref.com/en/matches/e85bc527/Angers-Strasbourg-October-6-2018-Ligue-1,2,2
Ligue1,2018-2019,Regular Season,9,Sat,2018-10-06,20:00,Amiens,0.4,0.5,Dijon,10194,Stade de la Licorne,Florent Batta,https://fbref.com/en/matches/0140822a/Amiens-Dijon-October-6-2018-Ligue-1,1,0
Ligue1,2018-2019,Regular Season,9,Sun,2018-10-07,15:00,Bordeaux,1.5,0.9,Nantes,18307,Stade Matmut-Atlantique,François Letexier,https://fbref.com/en/matches/c65e5722/Bordeaux-Nantes-October-7-2018-Ligue-1,3,0
Ligue1,2018-2019,Regular Season,9,Sun,2018-10-07,17:00,Monaco,0.5,1.5,Rennes,6268,Stade Louis II.,Olivier Thual,https://fbref.com/en/matches/f1b867e5/Monaco-Rennes-October-7-2018-Ligue-1,1,2
Ligue1,2018-2019,Regular Season,9,Sun,2018-10-07,17:00,Marseille,2.2,0.9,Caen,55935,Orange Vélodrome,Benoît Millot,https://fbref.com/en/matches/f13d4e01/Marseille-Caen-October-7-2018-Ligue-1,2,0
Ligue1,2018-2019,Regular Season,9,Sun,2018-10-07,21:00,Paris S-G,3.7,1.5,Lyon,47443,Parc des Princes,Antony Gautier,https://fbref.com/en/matches/6415b068/Paris-Saint-Germain-Lyon-October-7-2018-Ligue-1,5,0
Ligue1,2018-2019,Regular Season,10,Fri,2018-10-19,20:45,Lyon,2.2,1.4,Nîmes,42896,Groupama Stadium,Olivier Thual,https://fbref.com/en/matches/79a991c1/Lyon-Nimes-October-19-2018-Ligue-1,2,0
Ligue1,2018-2019,Regular Season,10,Sat,2018-10-20,17:00,Paris S-G,1.7,0.6,Amiens,47497,Parc des Princes,Mikael Lesage,https://fbref.com/en/matches/035d3aad/Paris-Saint-Germain-Amiens-October-20-2018-Ligue-1,5,0
Ligue1,2018-2019,Regular Season,10,Sat,2018-10-20,20:00,Reims,1.2,1.8,Angers,10954,Stade Auguste-Delaune II,Eric Wattellier,https://fbref.com/en/matches/0d7f77b0/Reims-Angers-October-20-2018-Ligue-1,1,1
Ligue1,2018-2019,Regular Season,10,Sat,2018-10-20,20:00,Nantes,2.3,0.6,Toulouse,22613,Stade de la Beaujoire - Louis Fonteneau,Benoît Bastien,https://fbref.com/en/matches/274c4cb2/Nantes-Toulouse-October-20-2018-Ligue-1,4,0
Ligue1,2018-2019,Regular Season,10,Sat,2018-10-20,20:00,Strasbourg,1.0,1.4,Monaco,25358,Stade de la Meinau,Nicolas Rainville,https://fbref.com/en/matches/da4b397e/Strasbourg-Monaco-October-20-2018-Ligue-1,2,1
Ligue1,2018-2019,Regular Season,10,Sat,2018-10-20,20:00,Caen,0.4,0.9,Guingamp,16009,Stade Michel d'Ornano,Hakim Ben El Hadj Salem,https://fbref.com/en/matches/4210903c/Caen-Guingamp-October-20-2018-Ligue-1,0,0
Ligue1,2018-2019,Regular Season,10,Sat,2018-10-20,20:00,Dijon,1.7,1.7,Lille,13004,Stade Gaston Gérard,Thomas Léonard,https://fbref.com/en/matches/4d8bec2d/Dijon-Lille-October-20-2018-Ligue-1,1,2
Ligue1,2018-2019,Regular Season,10,Sun,2018-10-21,15:00,Montpellier,1.6,1.3,Bordeaux,12491,Stade de la Mosson,Franck Schneider,https://fbref.com/en/matches/dbc08fd9/Montpellier-Bordeaux-October-21-2018-Ligue-1,2,0
Ligue1,2018-2019,Regular Season,10,Sun,2018-10-21,17:00,Saint-Étienne,1.7,1.9,Rennes,29557,Stade Geoffroy-Guichard,Clément Turpin,https://fbref.com/en/matches/1f50e1a7/Saint-Etienne-Rennes-October-21-2018-Ligue-1,1,1
Ligue1,2018-2019,Regular Season,10,Sun,2018-10-21,21:00,Nice,0.9,0.5,Marseille,30754,Stade de Nice,Amaury Delerue,https://fbref.com/en/matches/f4dc7030/Nice-Marseille-October-21-2018-Ligue-1,0,1
Ligue1,2018-2019,Regular Season,11,Fri,2018-10-26,20:45,Nîmes,1.3,1.2,Saint-Étienne,15412,Stade des Costières,François Letexier,https://fbref.com/en/matches/6b3b88be/Nimes-Saint-Etienne-October-26-2018-Ligue-1,1,1
Ligue1,2018-2019,Regular Season,11,Sat,2018-10-27,17:00,Angers,0.9,1.7,Lyon,14186,Stade Raymond Kopa,Ruddy Buquet,https://fbref.com/en/matches/91e106d9/Angers-Lyon-October-27-2018-Ligue-1,1,2
Ligue1,2018-2019,Regular Season,11,Sat,2018-10-27,20:00,Amiens,1.2,1.7,Nantes,11384,Stade de la Licorne,Jeremy Stinat,https://fbref.com/en/matches/35f3cce2/Amiens-Nantes-October-27-2018-Ligue-1,1,2
Ligue1,2018-2019,Regular Season,11,Sat,2018-10-27,20:00,Lille,0.8,0.5,Caen,33362,Stade Pierre-Mauroy,Florent Batta,https://fbref.com/en/matches/a1f18e1f/Lille-Caen-October-27-2018-Ligue-1,1,0
Ligue1,2018-2019,Regular Season,11,Sat,2018-10-27,20:00,Guingamp,1.3,1.8,Strasbourg,13643,Stade du Roudourou,Willy Delajod,https://fbref.com/en/matches/3af7f923/Guingamp-Strasbourg-October-27-2018-Ligue-1,1,1
Ligue1,2018-2019,Regular Season,11,Sat,2018-10-27,20:00,Monaco,1.3,0.6,Dijon,7139,Stade Louis II.,Jérôme Miguelgorry,https://fbref.com/en/matches/18916f9c/Monaco-Dijon-October-27-2018-Ligue-1,2,2
Ligue1,2018-2019,Regular Season,11,Sat,2018-10-27,20:00,Toulouse,1.2,2.1,Montpellier,14100,Stadium Municipal,Karim Abed,https://fbref.com/en/matches/091274cf/Toulouse-Montpellier-October-27-2018-Ligue-1,0,3
Ligue1,2018-2019,Regular Season,11,Sun,2018-10-28,15:00,Rennes,0.8,0.2,Reims,22710,Roazhon Park,Benoît Millot,https://fbref.com/en/matches/cc86cdf3/Rennes-Reims-October-28-2018-Ligue-1,0,2
Ligue1,2018-2019,Regular Season,11,Sun,2018-10-28,17:00,Bordeaux,2.2,1.5,Nice,20730,Stade Matmut-Atlantique,Jérôme Brisard,https://fbref.com/en/matches/cc5aa1d0/Bordeaux-Nice-October-28-2018-Ligue-1,0,1
