League,Season,Date,Team_Home,FBREFPossession_Home,FBREFSave%_Home,Goals_Home,FBREFAst_Home,FBREFPK_Home,FBREFPKatt_Home,FBREFSh_Home,FBREFSoT_Home,FBREFCrdY_Home,FBREFCrdR_Home,FBREFxg_Home,FBREFxa_Home,FBREFSCA_Home,FBREFGCA_Home,Team_Away,FBREFPossession_Away,FBREFSave%_Away,Goals_Away,FBREFAst_Away,FBREFPK_Away,FBREFPKatt_Away,FBREFSh_Away,FBREFSoT_Away,FBREFCrdY_Away,FBREFCrdR_Away,FBREFxg_away,FBREFxa_Away,FBREFSCA_Away,FBREFGCA_Away,FBREFORating_Home,FBREFDRating_Home,FBREFORating_Away,FBREFDRating_Away
Bundesliga,2017-2018,2017-09-30,Augsburg,41,71.4,1,1,0,0,12,5,4,0,1.8,1.7,18.0,1.0,Dortmund,59,80.0,2,1,0,1,14,7,1,0,2.4,1.3,20.0,2.0,0.54372543,0.86766994,0.8835647,0.60303944
Bundesliga,2017-2018,2017-09-30,Eint Frankfurt,43,80.0,2,0,0,0,10,6,1,1,1.3,0.8,13.0,0.0,Stuttgart,57,66.7,1,1,0,0,14,5,1,0,1.5,1.1,21.0,1.0,1.1284136,0.66911936,1.0730468,0.7706535
Bundesliga,2017-2018,2017-09-30,Hamburger SV,55,100.0,0,0,0,0,16,6,1,0,1.0,0.8,23.0,0.0,Werder Bremen,45,100.0,0,0,0,0,9,3,3,0,0.5,0.3,13.0,0.0,0.8017452,0.9392728,0.994678,0.70069635
Bundesliga,2017-2018,2017-10-01,Freiburg,43,60.0,3,3,0,0,15,6,2,0,1.1,0.9,21.0,6.0,Hoffenheim,57,50.0,1,1,0,0,15,5,3,0,1.1,1.0,23.0,3.0,0.7453195,0.6441756,0.72477365,1.037427
Bundesliga,2017-2018,2017-10-01,Hertha BSC,32,33.3,2,2,0,0,10,5,0,0,2.0,1.3,15.0,2.0,Bayern Munich,68,60.0,2,2,0,0,16,3,2,0,1.8,1.4,26.0,4.0,1.5472536,1.2978326,1.3261385,0.9325871
Bundesliga,2017-2018,2017-10-01,Köln,49,80.0,1,1,0,0,17,6,0,0,1.7,1.4,26.0,2.0,RB Leipzig,51,83.3,2,2,0,0,23,10,2,0,2.6,1.7,31.0,4.0,0.86441416,0.61594844,1.0014861,0.91474897
Bundesliga,2017-2018,2017-10-13,Stuttgart,45,66.7,2,2,0,0,22,7,2,0,2.7,1.7,31.0,3.0,Köln,55,71.4,1,1,0,0,17,3,3,0,1.7,0.7,23.0,2.0,0.8374224,0.83670783,0.7066277,0.6880399
Bundesliga,2017-2018,2017-10-14,Bayern Munich,69,100.0,4,3,0,0,25,9,0,0,2.0,1.6,44.0,9.0,Freiburg,31,44.4,0,0,0,0,6,2,0,0,0.6,0.5,9.0,0.0,1.317673,1.0149446,0.9217063,0.7691291
Bundesliga,2017-2018,2017-10-14,Mainz 05,46,0.0,3,2,0,0,14,4,1,0,1.1,1.0,18.0,5.0,Hamburger SV,54,25.0,2,0,1,1,8,1,1,0,1.8,0.6,11.0,1.0,0.74188083,0.86834234,1.1319731,0.9828368
Bundesliga,2017-2018,2017-10-14,Hoffenheim,54,66.7,2,1,0,0,23,8,1,0,1.8,1.4,31.0,3.0,Augsburg,46,75.0,1,1,0,0,13,6,0,0,1.1,1.0,21.0,4.0,0.872329,0.9705701,0.95887667,0.6640747
Bundesliga,2017-2018,2017-10-14,Hannover 96,52,50.0,1,1,0,0,11,2,3,0,1.0,1.0,15.0,1.0,Eint Frankfurt,48,50.0,2,2,0,0,11,4,3,0,0.8,0.7,20.0,4.0,1.1431179,0.9502635,0.9211248,1.0665038
Bundesliga,2017-2018,2017-10-14,Hertha BSC,38,83.3,0,0,0,0,4,0,1,1,0.3,0.3,4.0,0.0,Schalke 04,62,0.0,2,1,1,1,11,6,2,0,1.7,0.9,24.0,4.0,1.1124158,0.6933119,1.7622733,1.1413834
Bundesliga,2017-2018,2017-10-14,Dortmund,65,40.0,2,0,1,1,14,7,2,1,3.4,1.3,21.0,2.0,RB Leipzig,35,85.7,3,2,1,1,6,5,4,1,2.3,1.4,13.0,6.0,1.0600584,0.8508302,0.9944137,0.8038837
Bundesliga,2017-2018,2017-10-15,Leverkusen,53,60.0,2,2,0,0,17,9,2,0,1.9,1.3,25.0,4.0,Wolfsburg,47,77.8,2,2,0,0,12,5,2,0,1.6,0.7,19.0,4.0,0.8622174,0.8761023,1.0588307,0.77682024
Bundesliga,2017-2018,2017-10-15,Werder Bremen,46,75.0,0,0,0,0,17,5,1,0,1.4,1.1,25.0,0.0,M'Gladbach,54,100.0,2,1,0,0,17,8,0,0,2.2,2.1,32.0,4.0,0.88649744,1.1650095,2.7376058,0.79802233
Bundesliga,2017-2018,2017-10-20,Schalke 04,59,100.0,2,1,0,0,15,5,3,0,2.0,1.4,21.0,2.0,Mainz 05,41,60.0,0,0,0,0,5,2,0,0,0.5,0.5,9.0,0.0,1.4721305,1.3665797,0.88146734,0.84068495
