League,Season,Team_Home,Date,game_id,Goal_Home,Win_Home,o_rating_Home,d_rating_Home,Team_Away,Goal_Away,Win_Away,o_rating_Away,d_rating_Away
SerieA,2017-2018,Hellas Verona,2017-08-19,5415,1.0,0,0.77128166,0.94024485,Napoli,3.0,1,2.0898826,0.9579792
EPL,2017-2018,Liverpool,2017-08-19,1155,1.0,1,1.3140728,0.8296814,Crystal Palace,0.0,0,0.72891545,0.98157644
EPL,2017-2018,Stoke City,2017-08-19,1156,1.0,1,0.7854067,1.0467161,Arsenal,0.0,0,0.96825397,0.6974016
SerieA,2017-2018,Juventus,2017-08-19,5414,3.0,1,2.181853,0.7663717,Cagliari,0.0,0,1.1084485,1.224457
Bundesliga,2017-2018,Hoffenheim,2017-08-19,3967,1.0,1,1.204883,0.9322529,Werder Bremen,0.0,0,0.7258315,1.0656639
SerieA,2017-2018,Udinese,2017-08-20,5420,1.0,0,1.0627308,0.8209733,Chievo,2.0,1,1.0013101,0.9884748
SerieA,2017-2018,Sampdoria,2017-08-20,5417,2.0,1,1.5060687,0.8551122,Benevento,1.0,0,1.3829628,0.89243233
SerieA,2017-2018,Lazio,2017-08-20,5423,0.0,0,1.2869093,0.8113778,SPAL,0.0,0,1.2578702,0.89440894
SerieA,2017-2018,Crotone,2017-08-20,5418,0.0,0,0.9498604,0.9983461,Milan,3.0,1,2.1220653,0.75912803
SerieA,2017-2018,Bologna,2017-08-20,5419,1.0,0,1.2334201,1.1144369,Torino,1.0,0,1.1789223,1.0407035
SerieA,2017-2018,Sassuolo,2017-08-20,5422,0.0,0,0.85031664,1.102944,Genoa,0.0,0,0.92507267,1.1100192
SerieA,2017-2018,Inter,2017-08-20,5421,3.0,1,1.6180778,0.8656156,Fiorentina,0.0,0,1.1584377,1.1229229
EPL,2017-2018,Tottenham,2017-08-20,1158,1.0,0,0.73555756,0.81295604,Chelsea,2.0,1,0.97927517,0.8346908
EPL,2017-2018,Huddersfield,2017-08-20,1157,1.0,1,1.2082858,0.9729259,Newcastle Utd,0.0,0,0.67192245,0.96711147
SerieA,2017-2018,Atalanta,2017-08-20,5416,0.0,0,0.7734455,0.94312435,Roma,1.0,1,0.83037996,0.86533356
Ligue1,2017-2018,Paris S-G,2017-08-20,2691,6.0,1,2.2411153,0.8018313,Toulouse,2.0,0,0.9223167,0.91014564
Ligue1,2017-2018,Marseille,2017-08-20,2690,1.0,0,0.96870095,0.9888645,Angers,1.0,0,0.9281013,0.92463917
Ligue1,2017-2018,Lille,2017-08-20,2689,0.0,0,0.63651764,0.9453027,Caen,2.0,1,1.0656543,0.8049846
