League,Season,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,G+A-PK
EPL,2018-2019,354,Divock Origi,be BEL,FW,Liverpool,23,1995,12,4,371,4.1,0.73,0.24,0.97,0.73,0.97
EPL,2018-2019,355,Nicolás Otamendi,ar ARG,DF,Manchester City,30,1988,18,14,"1,236",13.7,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,356,Alex Oxlade-Chamberlain,eng ENG,"MF,FW",Liverpool,24,1993,2,0,21,0.2,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,357,Mesut Özil,de GER,"MF,FW",Arsenal,29,1988,24,20,"1,735",19.3,0.26,0.10,0.36,0.26,0.36
EPL,2018-2019,358,Emerson Palmieri,it ITA,DF,Chelsea,23,1994,10,7,663,7.4,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,359,Sokratis Papastathopoulos,gr GRE,DF,Arsenal,30,1988,25,25,"2,198",24.4,0.04,0.08,0.12,0.04,0.12
EPL,2018-2019,360,Callum Paterson,sco SCO,"FW,MF",Cardiff City,23,1994,27,21,"1,998",22.2,0.18,0.05,0.23,0.14,0.18
EPL,2018-2019,361,Rui Patrício,pt POR,GK,Wolves,30,1988,37,37,"3,329",37.0,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,362,Pedro,es ESP,FW,Chelsea,31,1987,31,21,"1,778",19.8,0.40,0.10,0.51,0.40,0.51
EPL,2018-2019,363,Lee Peltier,eng ENG,DF,Cardiff City,31,1986,20,17,"1,544",17.2,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,364,Andreas Pereira,br BRA,MF,Manchester Utd,22,1996,15,6,599,6.7,0.15,0.15,0.30,0.15,0.30
EPL,2018-2019,365,Ricardo Pereira,pt POR,"DF,FW",Leicester City,24,1993,35,35,"3,123",34.7,0.06,0.17,0.23,0.06,0.23
EPL,2018-2019,366,Roberto Pereyra,ar ARG,"FW,MF",Watford,27,1991,33,33,"2,815",31.3,0.19,0.03,0.22,0.19,0.22
EPL,2018-2019,367,Ayoze Pérez,es ESP,"FW,MF",Newcastle Utd,25,1993,37,34,"2,917",32.4,0.37,0.06,0.43,0.37,0.43
EPL,2018-2019,368,Lucas Pérez,es ESP,FW,West Ham,29,1988,15,4,475,5.3,0.57,0.00,0.57,0.57,0.57
EPL,2018-2019,369,Jordan Pickford,eng ENG,GK,Everton,24,1994,38,38,"3,420",38.0,0.00,0.00,0.00,0.00,0.00
