League,Season,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,xG,npxG,xA,npxG+xA
EPL,2020-2021,278,Riyad Mahrez,dz ALG,FW,Manchester City,30-062,1991,25,21,"1,795",19.9,5.4,5.4,5.5,10.9
EPL,2020-2021,279,Ainsley Maitland-Niles,eng ENG,DF,Arsenal,23-238,1997,11,5,490,5.4,0.1,0.1,0.2,0.3
EPL,2020-2021,280,Ainsley Maitland-Niles,eng ENG,MF,West Brom,23-238,1997,10,10,900,10.0,0.4,0.4,0.4,0.8
EPL,2020-2021,281,Josh Maja,ng NGA,FW,Fulham,22-118,1998,11,8,651,7.2,4.7,3.9,0.9,4.9
EPL,2020-2021,282,Sadio Mané,sn SEN,FW,Liverpool,29-014,1992,29,26,"2,345",26.1,12.8,12.8,4.0,16.8
EPL,2020-2021,283,Javier Manquillo,es ESP,DF,Newcastle Utd,26-354,1994,13,10,825,9.2,0.0,0.0,0.2,0.3
EPL,2020-2021,284,Fernando Marçal,br BRA,DF,Wolves,32-064,1989,12,7,615,6.8,0.1,0.1,0.1,0.2
EPL,2020-2021,285,Solly March,eng ENG,DF,Brighton,26-278,1994,21,19,"1,672",18.6,1.7,1.7,1.7,3.4
EPL,2020-2021,286,Pablo Marí,es ESP,DF,Arsenal,27-236,1993,9,9,810,9.0,0.0,0.0,0.0,0.0
EPL,2020-2021,287,Anthony Martial,fr FRA,FW,Manchester Utd,25-140,1995,22,17,"1,480",16.4,6.5,6.5,2.0,8.5
EPL,2020-2021,288,Martinelli,br BRA,FW,Arsenal,19-310,2001,10,5,422,4.7,2.5,2.5,0.9,3.4
EPL,2020-2021,289,Emiliano Martínez,ar ARG,GK,Aston Villa,28-234,1992,31,31,"2,790",31.0,0.0,0.0,0.2,0.2
EPL,2020-2021,290,Arthur Masuaku,cd COD,"DF,FW",West Ham,27-168,1993,12,12,"1,006",11.2,0.3,0.3,1.9,2.2
EPL,2020-2021,291,Juan Mata,es ESP,FW,Manchester Utd,32-361,1988,7,4,338,3.8,0.3,0.3,0.8,1.2
EPL,2020-2021,292,Jean-Philippe Mateta,fr FRA,FW,Crystal Palace,23-300,1997,5,2,184,2.0,0.2,0.2,0.0,0.2
EPL,2020-2021,293,Nemanja Matić,rs SRB,MF,Manchester Utd,32-266,1988,16,10,916,10.2,0.3,0.3,0.3,0.6
EPL,2020-2021,294,Joël Matip,cm CMR,DF,Liverpool,29-259,1991,10,9,691,7.7,0.6,0.6,1.0,1.7
EPL,2020-2021,295,Neal Maupay,fr FRA,"FW,MF",Brighton,24-253,1996,30,26,"2,243",24.9,11.1,8.1,3.4,11.5
EPL,2020-2021,296,James McArthur,sco SCO,MF,Crystal Palace,33-199,1987,18,17,"1,466",16.3,0.2,0.2,0.9,1.1
EPL,2020-2021,297,Oliver McBurnie,sco SCO,FW,Sheffield Utd,24-324,1996,23,12,"1,324",14.7,3.1,3.1,1.1,4.1
EPL,2020-2021,298,Alex McCarthy,eng ENG,GK,Southampton,31-142,1989,26,26,"2,340",26.0,0.0,0.0,0.0,0.0
EPL,2020-2021,299,James McCarthy,ie IRL,MF,Crystal Palace,30-163,1990,12,7,573,6.4,0.0,0.0,0.1,0.1
EPL,2020-2021,300,John McGinn,sco SCO,MF,Aston Villa,26-188,1994,30,30,"2,700",30.0,1.9,1.9,2.4,4.4
EPL,2020-2021,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,xG,npxG,xA,npxG+xA
EPL,2020-2021,301,David McGoldrick,ie IRL,"FW,MF",Sheffield Utd,33-146,1987,29,22,"1,865",20.7,5.3,5.3,1.2,6.5
EPL,2020-2021,302,Dwight McNeil,eng ENG,MF,Burnley,21-153,1999,30,28,"2,587",28.7,1.0,1.0,4.6,5.5
EPL,2020-2021,303,Scott McTominay,sco SCO,MF,Manchester Utd,24-137,1996,28,20,"1,798",20.0,1.8,1.8,0.9,2.7
EPL,2020-2021,304,Ben Mee,eng ENG,DF,Burnley,31-213,1989,25,25,"2,243",24.9,1.5,1.5,0.1,1.6
EPL,2020-2021,305,Benjamin Mendy,fr FRA,DF,Manchester City,26-281,1994,10,9,767,8.5,0.4,0.4,0.0,0.4
EPL,2020-2021,306,Edouard Mendy,sn SEN,GK,Chelsea,29-054,1992,26,26,"2,340",26.0,0.0,0.0,0.0,0.0
EPL,2020-2021,307,Nampalys Mendy,sn SEN,MF,Leicester City,28-305,1992,21,15,"1,375",15.3,0.1,0.1,0.3,0.4
