League,Season,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,xG,xA,xG+xA,npxG,npxG+xA
EPL,2017-2018,147,Jonny Evans,nir NIR,DF,West Brom,29,1988,28,26,"2,270",25.2,0.09,0.01,0.10,0.09,0.10
EPL,2017-2018,148,Patrice Evra,fr FRA,DF,West Ham,36,1981,5,3,228,2.5,0.00,0.00,0.00,0.00,0.00
EPL,2017-2018,149,Łukasz Fabiański,pl POL,GK,Swansea City,32,1985,38,38,"3,420",38.0,0.00,0.00,0.00,0.00,0.00
EPL,2017-2018,150,Cesc Fàbregas,es ESP,MF,Chelsea,30,1987,32,25,"2,307",25.6,0.09,0.27,0.36,0.09,0.36
EPL,2017-2018,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,xG,xA,xG+xA,npxG,npxG+xA
EPL,2017-2018,151,Marouane Fellaini,be BEL,MF,Manchester Utd,29,1987,16,5,683,7.6,0.41,0.02,0.43,0.41,0.43
EPL,2017-2018,152,Kiko Femenía,es ESP,"DF,MF",Watford,26,1991,23,19,"1,713",19.0,0.02,0.11,0.12,0.02,0.12
EPL,2017-2018,153,Leroy Fer,nl NED,MF,Swansea City,27,1990,20,15,"1,397",15.5,0.10,0.07,0.18,0.10,0.18
EPL,2017-2018,154,Edimilson Fernandes,ch SUI,"MF,FW",West Ham,21,1996,14,9,845,9.4,0.03,0.05,0.08,0.03,0.08
EPL,2017-2018,155,Federico Fernández,ar ARG,DF,Swansea City,28,1989,30,30,"2,676",29.7,0.02,0.02,0.05,0.02,0.05
EPL,2017-2018,156,Fernandinho,br BRA,MF,Manchester City,32,1985,34,33,"2,881",32.0,0.09,0.07,0.16,0.09,0.16
EPL,2017-2018,157,Sam Field,eng ENG,MF,West Brom,19,1998,10,7,537,6.0,0.06,0.03,0.09,0.06,0.09
EPL,2017-2018,158,Roberto Firmino,br BRA,FW,Liverpool,25,1991,37,32,"2,763",30.7,0.36,0.17,0.53,0.33,0.51
EPL,2017-2018,159,Darren Fletcher,sco SCO,MF,Stoke City,33,1984,27,25,"2,219",24.7,0.01,0.04,0.05,0.01,0.05
EPL,2017-2018,160,Phil Foden,eng ENG,MF,Manchester City,17,2000,5,0,49,0.5,0.00,0.58,0.58,0.00,0.58
EPL,2017-2018,161,José Fonte,pt POR,DF,West Ham,33,1983,8,8,688,7.6,0.10,0.01,0.11,0.10,0.11
EPL,2017-2018,162,Fraser Forster,eng ENG,GK,Southampton,29,1988,20,20,"1,800",20.0,0.00,0.00,0.00,0.00,0.00
EPL,2017-2018,163,Ben Foster,eng ENG,GK,West Brom,34,1983,37,37,"3,330",37.0,0.00,0.00,0.00,0.00,0.00
EPL,2017-2018,164,Timothy Fosu-Mensah,nl NED,DF,Crystal Palace,19,1998,21,17,"1,596",17.7,0.01,0.03,0.05,0.01,0.05
EPL,2017-2018,165,Simon Francis,eng ENG,DF,Bournemouth,32,1985,32,31,"2,705",30.1,0.02,0.07,0.08,0.02,0.08
EPL,2017-2018,166,Ryan Fraser,sco SCO,"MF,DF",Bournemouth,23,1994,26,23,"2,004",22.3,0.09,0.15,0.24,0.09,0.24
EPL,2017-2018,167,Christian Fuchs,at AUT,DF,Leicester City,31,1986,25,21,"1,921",21.3,0.02,0.03,0.05,0.02,0.05
EPL,2017-2018,168,Jay Fulton,sco SCO,MF,Swansea City,23,1994,2,0,19,0.2,0.00,0.00,0.00,0.00,0.00
EPL,2017-2018,169,Ramiro Funes Mori,ar ARG,"DF,MF",Everton,26,1991,4,1,121,1.3,0.05,0.00,0.05,0.05,0.05
EPL,2017-2018,170,Manolo Gabbiadini,it ITA,"FW,MF",Southampton,25,1991,28,11,"1,081",12.0,0.20,0.07,0.26,0.13,0.20
EPL,2017-2018,171,Jesús Gámez,es ESP,DF,Newcastle Utd,32,1985,2,1,98,1.1,0.02,0.12,0.14,0.02,0.14
EPL,2017-2018,172,Idrissa Gana Gueye,sn SEN,MF,Everton,27,1989,33,32,"2,751",30.6,0.05,0.04,0.08,0.05,0.08
EPL,2017-2018,173,Dwight Gayle,eng ENG,FW,Newcastle Utd,26,1990,35,23,"1,958",21.8,0.40,0.10,0.50,0.40,0.50
EPL,2017-2018,174,Paulo Gazzaniga,ar ARG,GK,Tottenham,25,1992,1,1,90,1.0,0.00,0.00,0.00,0.00,0.00
EPL,2017-2018,175,David de Gea,es ESP,GK,Manchester Utd,26,1990,37,37,"3,330",37.0,0.00,0.00,0.00,0.00,0.00
EPL,2017-2018,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,xG,xA,xG+xA,npxG,npxG+xA
EPL,2017-2018,176,Kieran Gibbs,eng ENG,DF,West Brom,27,1989,33,32,"2,827",31.4,0.01,0.06,0.07,0.01,0.07
EPL,2017-2018,177,Olivier Giroud,fr FRA,FW,Arsenal,30,1986,16,1,388,4.3,0.70,0.22,0.91,0.70,0.91
EPL,2017-2018,178,Olivier Giroud,fr FRA,FW,Chelsea,30,1986,13,6,613,6.8,0.57,0.17,0.74,0.57,0.74
EPL,2017-2018,179,Connor Goldson,eng ENG,DF,Brighton,24,1992,3,2,200,2.2,0.06,0.00,0.06,0.06,0.06
EPL,2017-2018,180,Heurelho Gomes,br BRA,GK,Watford,36,1981,24,24,"2,128",23.6,0.00,0.00,0.00,0.00,0.00
EPL,2017-2018,181,Joe Gomez,eng ENG,DF,Liverpool,20,1997,23,21,"1,902",21.1,0.01,0.06,0.07,0.01,0.07
EPL,2017-2018,182,Dan Gosling,eng ENG,MF,Bournemouth,27,1990,28,21,"1,947",21.6,0.11,0.04,0.15,0.11,0.15
EPL,2017-2018,183,Lee Grant,eng ENG,GK,Stoke City,34,1983,3,3,270,3.0,0.00,0.00,0.00,0.00,0.00
EPL,2017-2018,184,Andre Gray,jm JAM,FW,Watford,26,1991,31,16,"1,498",16.6,0.38,0.10,0.47,0.38,0.47
EPL,2017-2018,185,Demarai Gray,eng ENG,"MF,FW",Leicester City,21,1996,35,17,"1,697",18.9,0.11,0.17,0.27,0.11,0.27
EPL,2017-2018,186,Pascal Groß,de GER,"MF,FW",Brighton,26,1991,38,35,"2,928",32.5,0.10,0.18,0.28,0.08,0.25
EPL,2017-2018,187,Marko Grujić,rs SRB,MF,Liverpool,21,1996,3,0,16,0.2,0.00,0.10,0.10,0.00,0.10
EPL,2017-2018,188,İlkay Gündoğan,de GER,MF,Manchester City,26,1990,30,15,"1,517",16.9,0.22,0.11,0.32,0.17,0.28
EPL,2017-2018,189,Florent Hadergjonaj,xk KVX,"DF,MF",Huddersfield,23,1994,23,19,"1,674",18.6,0.02,0.09,0.12,0.02,0.12
EPL,2017-2018,190,Massadio Haïdara,ml MLI,"FW,MF",Newcastle Utd,24,1992,1,0,4,0.0,0.00,0.00,0.00,0.00,0.00
EPL,2017-2018,191,Ben Hamer,eng ENG,GK,Leicester City,29,1987,4,3,275,3.1,0.00,0.00,0.00,0.00,0.00
