League,Season,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR
EPL,2014-2015,140,Guy Demel,ci CIV,"DF,MF",West Ham,33,1981,6,3,258,2.9,0,0,0,0,0,0,0
EPL,2014-2015,141,Martín Demichelis,ar ARG,"DF,MF",Manchester City,33,1980,31,28,"2,562",28.5,1,0,1,0,0,6,0
EPL,2014-2015,142,Ángel Di María,ar ARG,"FW,MF",Manchester Utd,26,1988,27,20,"1,639",18.2,3,10,3,0,0,1,0
EPL,2014-2015,143,Mohamed Diamé,sn SEN,MF,West Ham,27,1987,3,0,57,0.6,0,0,0,0,0,0,0
EPL,2014-2015,144,Mohamed Diamé,sn SEN,MF,Hull City,27,1987,12,10,877,9.7,4,0,4,0,0,2,0
EPL,2014-2015,145,Eric Dier,eng ENG,"DF,MF",Tottenham,20,1994,28,25,"2,293",25.5,2,2,2,0,0,4,0
EPL,2014-2015,146,Sylvain Distin,fr FRA,DF,Everton,36,1977,13,12,"1,080",12.0,0,0,0,0,0,0,0
EPL,2014-2015,147,Graham Dorrans,sco SCO,"FW,MF",West Brom,27,1987,21,19,"1,587",17.6,1,3,1,0,1,5,0
EPL,2014-2015,148,Michael Doughty,wal WAL,MF,QPR,21,1992,3,0,54,0.6,0,0,0,0,0,0,0
EPL,2014-2015,149,Stewart Downing,eng ENG,"FW,MF",West Ham,30,1984,37,37,"3,312",36.8,6,8,6,0,0,3,0
EPL,2014-2015,150,Kevin Doyle,ie IRL,FW,Crystal Palace,30,1983,3,0,36,0.4,0,0,0,0,0,0,0
EPL,2014-2015,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR
EPL,2014-2015,151,Danny Drinkwater,eng ENG,MF,Leicester City,24,1990,23,16,"1,488",16.5,0,0,0,0,0,1,0
EPL,2014-2015,152,Didier Drogba,ci CIV,FW,Chelsea,36,1978,28,8,869,9.7,4,1,4,0,0,5,0
EPL,2014-2015,153,Michael Duff,nir NIR,DF,Burnley,36,1978,21,21,"1,808",20.1,0,0,0,0,0,4,1
EPL,2014-2015,154,Paul Dummett,wal WAL,DF,Newcastle Utd,22,1991,25,24,"2,107",23.4,0,0,0,0,0,4,0
EPL,2014-2015,155,Richard Dunne,ie IRL,DF,QPR,34,1979,23,22,"1,870",20.8,0,0,0,0,0,7,0
EPL,2014-2015,156,Nathan Dyer,eng ENG,"FW,MF",Swansea City,26,1987,32,23,"1,862",20.7,3,3,3,0,0,2,0
EPL,2014-2015,157,Edin Džeko,ba BIH,FW,Manchester City,28,1986,22,11,932,10.4,4,2,4,0,0,1,0
EPL,2014-2015,158,Eljero Elia,nl NED,"FW,MF",Southampton,27,1987,16,9,787,8.7,2,0,2,0,0,2,0
EPL,2014-2015,159,Rob Elliot,ie IRL,GK,Newcastle Utd,28,1986,3,3,225,2.5,0,0,0,0,0,0,0
EPL,2014-2015,160,Ahmed Elmohamady,eg EGY,"DF,MF",Hull City,26,1987,38,38,"3,419",38.0,2,5,2,0,0,4,0
EPL,2014-2015,161,Marvin Emnes,nl NED,"FW,MF",Swansea City,26,1988,17,3,514,5.7,0,0,0,0,0,2,0
EPL,2014-2015,162,José Enrique,es ESP,DF,Liverpool,28,1986,4,2,205,2.3,0,0,0,0,0,0,0
EPL,2014-2015,163,Christian Eriksen,dk DEN,"FW,MF",Tottenham,22,1992,38,37,"3,131",34.8,10,2,10,0,0,4,0
EPL,2014-2015,164,Samuel Eto'o,cm CMR,FW,Everton,33,1981,14,8,787,8.7,3,1,3,0,0,1,0
EPL,2014-2015,165,Jonny Evans,nir NIR,DF,Manchester Utd,26,1988,14,12,"1,090",12.1,0,0,0,0,0,1,0
EPL,2014-2015,166,Łukasz Fabiański,pl POL,GK,Swansea City,29,1985,37,37,"3,308",36.8,0,0,0,0,0,0,1
EPL,2014-2015,167,Cesc Fàbregas,es ESP,"FW,MF",Chelsea,27,1987,34,33,"2,883",32.0,3,18,3,0,0,11,1
EPL,2014-2015,168,Radamel Falcao,co COL,FW,Manchester Utd,28,1986,26,14,"1,287",14.3,4,4,4,0,0,2,0
EPL,2014-2015,169,Alejandro Faurlín,ar ARG,MF,QPR,27,1986,2,1,91,1.0,0,0,0,0,0,0,0
EPL,2014-2015,170,Federico Fazio,ar ARG,DF,Tottenham,27,1987,20,20,"1,777",19.7,0,0,0,0,0,2,1
EPL,2014-2015,171,Marouane Fellaini,be BEL,MF,Manchester Utd,26,1987,27,19,"1,831",20.3,6,0,6,0,0,5,1
EPL,2014-2015,172,Leroy Fer,nl NED,MF,QPR,24,1990,29,27,"2,360",26.2,6,2,6,0,0,4,0
EPL,2014-2015,173,Rio Ferdinand,eng ENG,DF,QPR,35,1978,11,11,990,11.0,0,0,0,0,0,2,0
EPL,2014-2015,174,Federico Fernández,ar ARG,DF,Swansea City,25,1989,28,27,"2,475",27.5,0,0,0,0,0,0,0
EPL,2014-2015,175,Fernandinho,br BRA,"DF,MF",Manchester City,29,1985,33,25,"2,267",25.2,3,3,3,0,0,7,0
EPL,2014-2015,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR
EPL,2014-2015,176,Fernando,br BRA,MF,Manchester City,27,1987,25,22,"1,879",20.9,2,2,2,0,0,6,0
EPL,2014-2015,177,Maynor Figueroa,hn HON,DF,Hull City,31,1983,3,2,209,2.3,0,0,0,0,0,0,0
EPL,2014-2015,178,Mathieu Flamini,fr FRA,MF,Arsenal,30,1984,23,15,"1,460",16.2,1,1,1,0,0,3,0
EPL,2014-2015,179,Darren Fletcher,sco SCO,MF,Manchester Utd,30,1984,11,4,369,4.1,0,0,0,0,0,1,0
EPL,2014-2015,180,Darren Fletcher,sco SCO,MF,West Brom,30,1984,15,15,"1,350",15.0,1,0,1,0,0,2,0
EPL,2014-2015,181,Steven Fletcher,sco SCO,FW,Sunderland,27,1987,30,20,"1,784",19.8,5,2,5,0,0,4,0
EPL,2014-2015,182,José Fonte,pt POR,DF,Southampton,30,1983,37,37,"3,330",37.0,0,1,0,0,0,5,0
EPL,2014-2015,183,Fraser Forster,eng ENG,GK,Southampton,26,1988,30,30,"2,623",29.1,0,0,0,0,0,1,0
EPL,2014-2015,184,Ben Foster,eng ENG,GK,West Brom,31,1983,28,28,"2,485",27.6,0,0,0,0,0,2,0
EPL,2014-2015,185,Zeki Fryers,eng ENG,DF,Crystal Palace,21,1992,1,0,4,0.0,0,0,0,0,0,0,0
EPL,2014-2015,186,Jay Fulton,sco SCO,MF,Swansea City,20,1994,2,1,115,1.3,0,0,0,0,0,0,0
EPL,2014-2015,187,Darnell Furlong,eng ENG,DF,QPR,18,1995,3,3,225,2.5,0,0,0,0,0,1,0
EPL,2014-2015,188,Brendan Galloway,eng ENG,DF,Everton,18,1996,2,2,173,1.9,0,0,0,0,0,1,0
EPL,2014-2015,189,Cristian Gamboa,cr CRC,"DF,MF",West Brom,24,1989,10,1,242,2.7,0,1,0,0,0,1,0
EPL,2014-2015,190,Dominic Gape,eng ENG,MF,Southampton,19,1994,1,0,2,0.0,0,0,0,0,0,0,0
EPL,2014-2015,191,Luke Garbutt,eng ENG,"DF,MF",Everton,21,1993,4,3,287,3.2,0,0,0,0,0,1,0
EPL,2014-2015,192,Craig Gardner,eng ENG,MF,West Brom,27,1986,35,30,"2,678",29.8,3,4,3,0,0,10,0
EPL,2014-2015,193,Florin Gardoș,ro ROU,"DF,MF",Southampton,25,1988,10,5,574,6.4,0,0,0,0,0,1,0
EPL,2014-2015,194,Dwight Gayle,eng ENG,FW,Crystal Palace,23,1990,25,11,"1,097",12.2,5,1,4,1,1,1,0
EPL,2014-2015,195,Paulo Gazzaniga,ar ARG,GK,Southampton,22,1992,2,2,180,2.0,0,0,0,0,0,0,0
EPL,2014-2015,196,David de Gea,es ESP,GK,Manchester Utd,23,1990,37,37,"3,313",36.8,0,0,0,0,0,0,0
