League,Season,Wk,Day,Date,Time,HomeTeam,xG_Home,xG_Away,AwayTeam,Attendance,Venue,Referee,Match Report,HomeScore,AwayScore
Ligue1,2019-2020,5,Sat,2019-09-14,20:00,Montpellier,1.5,1.3,Nice,12765,Stade de la Mosson,Olivier Thual,https://fbref.com/en/matches/0b77a4c6/Montpellier-Nice-September-14-2019-Ligue-1,2,1
Ligue1,2019-2020,5,Sun,2019-09-15,15:00,Nantes,0.4,0.6,Reims,18897,Stade de la Beaujoire - Louis Fonteneau,Willy Delajod,https://fbref.com/en/matches/40123fcd/Nantes-Reims-September-15-2019-Ligue-1,1,0
Ligue1,2019-2020,5,Sun,2019-09-15,17:00,Saint-Étienne,1.4,1.7,Toulouse,24240,Stade Geoffroy-Guichard,Jeremy Stinat,https://fbref.com/en/matches/3ead5324/Saint-Etienne-Toulouse-September-15-2019-Ligue-1,2,2
Ligue1,2019-2020,5,Sun,2019-09-15,21:00,Monaco,2.8,1.9,Marseille,9147,Stade Louis II.,Antony Gautier,https://fbref.com/en/matches/2348f37e/Monaco-Marseille-September-15-2019-Ligue-1,3,4
Ligue1,2019-2020,6,Fri,2019-09-20,20:45,Strasbourg,2.2,0.6,Nantes,24013,Stade de la Meinau,Florent Batta,https://fbref.com/en/matches/357bae1b/Strasbourg-Nantes-September-20-2019-Ligue-1,2,1
Ligue1,2019-2020,6,Sat,2019-09-21,17:30,Marseille,1.5,0.1,Montpellier,48007,Orange Vélodrome,Amaury Delerue,https://fbref.com/en/matches/e8bd7cc9/Marseille-Montpellier-September-21-2019-Ligue-1,1,1
Ligue1,2019-2020,6,Sat,2019-09-21,20:00,Metz,1.5,1.5,Amiens,15106,Stade Saint-Symphorien,Hakim Ben El Hadj Salem,https://fbref.com/en/matches/b3a13bef/Metz-Amiens-September-21-2019-Ligue-1,1,2
Ligue1,2019-2020,6,Sat,2019-09-21,20:00,Nice,1.0,1.7,Dijon,16255,Stade de Nice,Willy Delajod,https://fbref.com/en/matches/45b44957/Nice-Dijon-September-21-2019-Ligue-1,2,1
Ligue1,2019-2020,6,Sat,2019-09-21,20:00,Reims,1.8,0.6,Monaco,14426,Stade Auguste-Delaune II,Olivier Thual,https://fbref.com/en/matches/9980de54/Reims-Monaco-September-21-2019-Ligue-1,0,0
Ligue1,2019-2020,6,Sat,2019-09-21,20:00,Nîmes,1.5,0.9,Toulouse,12258,Stade des Costières,Karim Abed,https://fbref.com/en/matches/345875ba/Nimes-Toulouse-September-21-2019-Ligue-1,1,0
Ligue1,2019-2020,6,Sat,2019-09-21,20:00,Bordeaux,1.2,1.4,Brest,15213,Stade Matmut-Atlantique,Benoît Millot,https://fbref.com/en/matches/abbfce8e/Bordeaux-Brest-September-21-2019-Ligue-1,2,2
Ligue1,2019-2020,6,Sun,2019-09-22,15:00,Rennes,0.5,1.3,Lille,25772,Roazhon Park,Jérôme Brisard,https://fbref.com/en/matches/396ba364/Rennes-Lille-September-22-2019-Ligue-1,1,1
Ligue1,2019-2020,6,Sun,2019-09-22,17:00,Angers,1.6,0.5,Saint-Étienne,9831,Stade Raymond Kopa,Franck Schneider,https://fbref.com/en/matches/b88f4566/Angers-Saint-Etienne-September-22-2019-Ligue-1,4,1
Ligue1,2019-2020,6,Sun,2019-09-22,21:00,Lyon,0.8,1.9,Paris S-G,54583,Groupama Stadium,Ruddy Buquet,https://fbref.com/en/matches/3f42f919/Lyon-Paris-Saint-Germain-September-22-2019-Ligue-1,0,1
Ligue1,2019-2020,7,Tue,2019-09-24,19:00,Dijon,1.5,1.1,Marseille,15061,Stade Gaston Gérard,Jeremy Stinat,https://fbref.com/en/matches/8001f653/Dijon-Marseille-September-24-2019-Ligue-1,0,0
Ligue1,2019-2020,7,Tue,2019-09-24,21:00,Monaco,2.0,0.6,Nice,9358,Stade Louis II.,Mikael Lesage,https://fbref.com/en/matches/b7b1a9b7/Monaco-Nice-September-24-2019-Ligue-1,3,1
Ligue1,2019-2020,7,Wed,2019-09-25,19:00,Nantes,1.3,1.2,Rennes,26952,Stade de la Beaujoire - Louis Fonteneau,Antony Gautier,https://fbref.com/en/matches/6bbdfbc9/Nantes-Rennes-September-25-2019-Ligue-1,1,0
Ligue1,2019-2020,7,Wed,2019-09-25,19:00,Lille,2.7,0.5,Strasbourg,30103,Stade Pierre-Mauroy,Johan Hamel,https://fbref.com/en/matches/d0674983/Lille-Strasbourg-September-25-2019-Ligue-1,2,0
Ligue1,2019-2020,7,Wed,2019-09-25,19:00,Saint-Étienne,1.0,0.9,Metz,19712,Stade Geoffroy-Guichard,Eric Wattellier,https://fbref.com/en/matches/8cef4d5d/Saint-Etienne-Metz-September-25-2019-Ligue-1,0,1
Ligue1,2019-2020,7,Wed,2019-09-25,19:00,Amiens,1.6,1.0,Bordeaux,11367,Stade de la Licorne,Willy Delajod,https://fbref.com/en/matches/7da226b0/Amiens-Bordeaux-September-25-2019-Ligue-1,1,3
Ligue1,2019-2020,7,Wed,2019-09-25,19:00,Montpellier,0.6,1.1,Nîmes,16445,Stade de la Mosson,Benoît Bastien,https://fbref.com/en/matches/9b0141fa/Montpellier-Nimes-September-25-2019-Ligue-1,1,0
Ligue1,2019-2020,7,Wed,2019-09-25,19:00,Toulouse,0.2,1.7,Angers,10177,Stadium Municipal,Olivier Thual,https://fbref.com/en/matches/226e048a/Toulouse-Angers-September-25-2019-Ligue-1,0,2
Ligue1,2019-2020,7,Wed,2019-09-25,19:00,Brest,0.6,1.0,Lyon,14472,Stade Francis-Le Blé,Amaury Delerue,https://fbref.com/en/matches/4b5cf87f/Brest-Lyon-September-25-2019-Ligue-1,2,2
Ligue1,2019-2020,7,Wed,2019-09-25,21:00,Paris S-G,0.5,1.0,Reims,47376,Parc des Princes,François Letexier,https://fbref.com/en/matches/3b093a5f/Paris-Saint-Germain-Reims-September-25-2019-Ligue-1,0,2
