League,Season,Rk,Player,Nation,Pos,Squad,Age,Born,Matches
EPL,2018-2019,477,Kyle Walker,eng ENG,DF,Manchester City,28,1990,https://fbref.com/en/players/86dd77d1/matchlogs/2018-2019/summary/Kyle-Walker-Match-Logs
EPL,2018-2019,478,Kyle Walker-Peters,eng ENG,DF,Tottenham,21,1997,https://fbref.com/en/players/984a5a64/matchlogs/2018-2019/summary/Kyle-Walker-Peters-Match-Logs
EPL,2018-2019,479,Aaron Wan-Bissaka,eng ENG,DF,Crystal Palace,20,1997,https://fbref.com/en/players/9e525177/matchlogs/2018-2019/summary/Aaron-Wan-Bissaka-Match-Logs
EPL,2018-2019,480,Victor Wanyama,ke KEN,MF,Tottenham,27,1991,https://fbref.com/en/players/e0900238/matchlogs/2018-2019/summary/Victor-Wanyama-Match-Logs
EPL,2018-2019,481,Danny Ward,eng ENG,FW,Cardiff City,26,1991,https://fbref.com/en/players/cfb29823/matchlogs/2018-2019/summary/Danny-Ward-Match-Logs
EPL,2018-2019,482,Joel Ward,eng ENG,DF,Crystal Palace,28,1989,https://fbref.com/en/players/8a7ff278/matchlogs/2018-2019/summary/Joel-Ward-Match-Logs
EPL,2018-2019,483,Stephen Ward,ie IRL,DF,Burnley,32,1985,https://fbref.com/en/players/3831b9fe/matchlogs/2018-2019/summary/Stephen-Ward-Match-Logs
EPL,2018-2019,484,James Ward-Prowse,eng ENG,"MF,DF",Southampton,23,1994,https://fbref.com/en/players/3515d404/matchlogs/2018-2019/summary/James-Ward-Prowse-Match-Logs
EPL,2018-2019,485,Danny Welbeck,eng ENG,"FW,MF",Arsenal,27,1990,https://fbref.com/en/players/ce5143da/matchlogs/2018-2019/summary/Danny-Welbeck-Match-Logs
EPL,2018-2019,486,Ashley Westwood,eng ENG,MF,Burnley,28,1990,https://fbref.com/en/players/495945ef/matchlogs/2018-2019/summary/Ashley-Westwood-Match-Logs
EPL,2018-2019,487,Connor Wickham,eng ENG,FW,Crystal Palace,25,1993,https://fbref.com/en/players/41cc19c2/matchlogs/2018-2019/summary/Connor-Wickham-Match-Logs
EPL,2018-2019,488,Georginio Wijnaldum,nl NED,MF,Liverpool,27,1990,https://fbref.com/en/players/eb58eef0/matchlogs/2018-2019/summary/Georginio-Wijnaldum-Match-Logs
EPL,2018-2019,489,Danny Williams,us USA,MF,Huddersfield,29,1989,https://fbref.com/en/players/ec9a28ce/matchlogs/2018-2019/summary/Danny-Williams-Match-Logs
EPL,2018-2019,490,Willian,br BRA,FW,Chelsea,29,1988,https://fbref.com/en/players/8b9ebd03/matchlogs/2018-2019/summary/Willian-Match-Logs
EPL,2018-2019,491,Joe Willock,eng ENG,MF,Arsenal,18,1999,https://fbref.com/en/players/a3b03921/matchlogs/2018-2019/summary/Joe-Willock-Match-Logs
EPL,2018-2019,492,Ben Wilmot,eng ENG,MF,Watford,18,1999,https://fbref.com/en/players/2876eaa3/matchlogs/2018-2019/summary/Ben-Wilmot-Match-Logs
EPL,2018-2019,493,Jack Wilshere,eng ENG,MF,West Ham,26,1992,https://fbref.com/en/players/9c318325/matchlogs/2018-2019/summary/Jack-Wilshere-Match-Logs
EPL,2018-2019,494,Callum Wilson,eng ENG,FW,Bournemouth,26,1992,https://fbref.com/en/players/c596fcb0/matchlogs/2018-2019/summary/Callum-Wilson-Match-Logs
EPL,2018-2019,495,Harry Winks,eng ENG,MF,Tottenham,22,1996,https://fbref.com/en/players/2f7acede/matchlogs/2018-2019/summary/Harry-Winks-Match-Logs
EPL,2018-2019,496,Chris Wood,nz NZL,FW,Burnley,26,1991,https://fbref.com/en/players/4e9a0555/matchlogs/2018-2019/summary/Chris-Wood-Match-Logs
EPL,2018-2019,497,Granit Xhaka,ch SUI,"MF,DF",Arsenal,25,1992,https://fbref.com/en/players/e61b8aee/matchlogs/2018-2019/summary/Granit-Xhaka-Match-Logs
EPL,2018-2019,498,Andriy Yarmolenko,ua UKR,"FW,MF",West Ham,28,1989,https://fbref.com/en/players/849c826a/matchlogs/2018-2019/summary/Andriy-Yarmolenko-Match-Logs
EPL,2018-2019,499,DeAndre Yedlin,us USA,DF,Newcastle Utd,25,1993,https://fbref.com/en/players/ae0a7ddf/matchlogs/2018-2019/summary/DeAndre-Yedlin-Match-Logs
EPL,2018-2019,500,Maya Yoshida,jp JPN,DF,Southampton,29,1988,https://fbref.com/en/players/caffaf5a/matchlogs/2018-2019/summary/Maya-Yoshida-Match-Logs
EPL,2018-2019,Rk,Player,Nation,Pos,Squad,Age,Born,Matches
EPL,2018-2019,501,Ashley Young,eng ENG,DF,Manchester Utd,33,1985,https://fbref.com/en/players/be927d03/matchlogs/2018-2019/summary/Ashley-Young-Match-Logs
EPL,2018-2019,502,Pablo Zabaleta,ar ARG,DF,West Ham,33,1985,https://fbref.com/en/players/6813ac34/matchlogs/2018-2019/summary/Pablo-Zabaleta-Match-Logs
EPL,2018-2019,503,Wilfried Zaha,ci CIV,FW,Crystal Palace,25,1992,https://fbref.com/en/players/b2bc3b1f/matchlogs/2018-2019/summary/Wilfried-Zaha-Match-Logs
EPL,2018-2019,504,Andre-Frank Zambo Anguissa,cm CMR,MF,Fulham,22,1995,https://fbref.com/en/players/6bb2c084/matchlogs/2018-2019/summary/Andre-Frank-Zambo-Anguissa-Match-Logs
EPL,2018-2019,505,Davide Zappacosta,it ITA,DF,Chelsea,26,1992,https://fbref.com/en/players/7fe90ccd/matchlogs/2018-2019/summary/Davide-Zappacosta-Match-Logs
EPL,2018-2019,506,Oleksandr Zinchenko,ua UKR,DF,Manchester City,21,1996,https://fbref.com/en/players/51cf8561/matchlogs/2018-2019/summary/Oleksandr-Zinchenko-Match-Logs
EPL,2018-2019,507,Kenneth Zohore,dk DEN,FW,Cardiff City,24,1994,https://fbref.com/en/players/5e508d0d/matchlogs/2018-2019/summary/Kenneth-Zohore-Match-Logs
EPL,2018-2019,508,Kurt Zouma,fr FRA,DF,Everton,23,1994,https://fbref.com/en/players/ce4246f5/matchlogs/2018-2019/summary/Kurt-Zouma-Match-Logs
