League,Season,Team_Home,Date,game_id,Goal_Home,Win_Home,o_rating_Home,d_rating_Home,Team_Away,Goal_Away,Win_Away,o_rating_Away,d_rating_Away
Bundesliga,2017-2018,Freiburg,2017-08-20,3973,0.0,0,0.37890446,1.048982,Eint Frankfurt,0.0,0,1.3247675,0.8098073
LaLiga,2017-2018,Athletic Club,2017-08-20,6939,0.0,0,0.40944377,1.2288737,Getafe,0.0,0,3.038162,1.2571527
LaLiga,2017-2018,La Coruña,2017-08-20,6941,0.0,0,0.3136219,0.9944794,Real Madrid,3.0,1,3.3194134,1.1453167
LaLiga,2017-2018,Barcelona,2017-08-20,6940,2.0,1,1.1701254,1.6182748,Betis,0.0,0,0.8244465,1.6465816
EPL,2017-2018,Manchester City,2017-08-21,1159,1.0,0,0.085788906,0.97843343,Everton,1.0,0,0.54189396,0.96048653
LaLiga,2017-2018,Levante,2017-08-21,6942,1.0,1,0.03229922,1.2492052,Villarreal,0.0,0,1.8326659,1.3223691
LaLiga,2017-2018,Málaga,2017-08-21,6943,0.0,0,0.1289095,1.2637789,Eibar,1.0,1,0.12740178,0.8343911
Bundesliga,2017-2018,Köln,2017-08-25,3975,1.0,0,0.8178229,0.79887754,Hamburger SV,3.0,1,0.32023028,0.77617604
LaLiga,2017-2018,Betis,2017-08-25,6945,2.0,1,0.6594906,1.7561436,Celta Vigo,1.0,0,0.23420209,1.0488278
LaLiga,2017-2018,Real Sociedad,2017-08-25,6944,3.0,1,0.5542327,1.2315621,Villarreal,0.0,0,0.20165914,1.1703966
Ligue1,2017-2018,Paris S-G,2017-08-25,2692,3.0,1,1.5985361,1.3855445,Saint-Étienne,0.0,0,0.47624996,1.1411538
Bundesliga,2017-2018,Stuttgart,2017-08-26,3976,1.0,1,0.6217368,1.3401283,Mainz 05,0.0,0,0.65040153,0.8221166
Bundesliga,2017-2018,Eint Frankfurt,2017-08-26,3977,0.0,0,0.024908692,0.9767427,Wolfsburg,1.0,1,0.3754173,0.77763706
Ligue1,2017-2018,Nantes,2017-08-26,2693,0.0,0,0.74766195,0.98702365,Lyon,0.0,0,0.9812577,1.059342
Ligue1,2017-2018,Toulouse,2017-08-26,2694,3.0,1,0.36133012,0.92504287,Rennes,2.0,0,0.79112524,1.0576358
