Season,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att_Passes,Cmp%,Prog_Passes,Carries,Prog_2_Carries,Succ,Att_2_Dribbles,Match Report
2018-2019,2019-04-11,Thu,Europa Lg,Quarter-finals,Home,W 2–0,eng Arsenal,it Napoli,N,FW,24,0,0,0,0,0,0,0,0,18,9,0,0,1,0.0,0.0,0.0,1,0,11,12,91.7,1,16,1,1,3,Match Report
2018-2019,2019-04-15,Mon,Premier League,Matchweek 34,Away,W 1–0,Arsenal,Watford,Y,"LW,WB",90,0,0,0,0,3,1,0,0,79,10,2,0,0,0.1,0.1,1.1,14,0,56,66,84.8,11,72,16,2,4,Match Report
2018-2019,2019-04-18,Thu,Europa Lg,Quarter-finals,Away,W 1–0,eng Arsenal,it Napoli,N,FW,23,0,0,0,0,0,0,0,0,13,5,0,0,1,0.0,0.0,0.0,0,0,5,7,71.4,0,11,3,1,3,Match Report
2018-2019,2019-04-21,Sun,Premier League,Matchweek 35,Home,L 2–3,Arsenal,Crystal Palace,N,"WB,CB",45,0,0,0,0,1,1,0,0,48,7,0,0,2,0.2,0.2,0.0,1,1,24,37,64.9,4,41,13,2,4,Match Report
2018-2019,2019-04-24,Wed,Premier League,Matchweek 31,Away,L 1–3,Arsenal,Wolves,Y,"LW,AM",70,0,0,0,0,1,0,0,0,53,5,0,0,0,0.0,0.0,0.0,1,0,38,48,79.2,1,47,9,0,0,Match Report
2018-2019,2019-04-28,Sun,Premier League,Matchweek 36,Away,L 0–3,Arsenal,Leicester City,Y,LM,45,0,0,0,0,2,1,0,0,21,11,0,1,2,0.3,0.3,0.1,2,0,7,12,58.3,0,9,2,0,2,Match Report
2018-2019,2019-05-02,Thu,Europa Lg,Semi-finals,Home,W 3–1,eng Arsenal,es Valencia,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,,,,,,,,,,Match Report
2018-2019,2019-05-05,Sun,Premier League,Matchweek 37,Home,D 1–1,Arsenal,Brighton,N,"RB,DM",14,0,0,0,0,0,0,0,0,17,1,1,0,0,0.0,0.0,0.1,1,0,6,16,37.5,1,15,10,0,1,Match Report
2018-2019,2019-05-09,Thu,Europa Lg,Semi-finals,Away,W 4–2,eng Arsenal,es Valencia,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,,,,,,,,,,Match Report
2018-2019,2019-05-12,Sun,Premier League,Matchweek 38,Away,W 3–1,Arsenal,Burnley,Y,LW,90,0,2,0,0,1,0,0,0,65,20,2,0,1,0.0,0.0,0.4,8,2,43,57,75.4,6,60,22,1,1,Match Report
2018-2019,2019-05-29,Wed,Europa Lg,Final,Away,L 1–4,eng Arsenal,eng Chelsea,N,LW,24,1,0,0,0,1,1,0,0,20,1,0,0,0,0.1,0.1,0.3,6,0,16,17,94.1,5,18,5,1,1,Match Report
2018-2019,2019-06-08,Sat,Friendlies (M),Friendlies (M),Home,D 0–0,ng Nigeria,zw Zimbabwe,Y,CM,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,Match Report
2018-2019,2019-06-22,Sat,Africa Cup of Nations,Group stage,Neutral,W 1–0,ng Nigeria,bi Burundi,Y,AM,90,0,0,0,0,2,0,0,0,,,,0,,,,,,,,,,,,,,,Match Report
2018-2019,2019-06-26,Wed,Africa Cup of Nations,Group stage,Neutral,W 1–0,ng Nigeria,gn Guinea,Y,AM,77,0,0,0,0,3,2,0,0,,,,0,,,,,,,,,,,,,,,Match Report
2018-2019,2019-06-30,Sun,Africa Cup of Nations,Group stage,Neutral,L 0–2,ng Nigeria,mg Madagascar,N,,32,0,0,0,0,1,0,0,0,,,,0,,,,,,,,,,,,,,,Match Report
